Orthogroup	Pdam	Nvec
OG0000203	pdam_00020186-RA, pdam_00020187-RA	NV2t003820003.1, NV2t003820001.1, NV2t003820002.1, NV2t003820004.1
OG0000203	pdam_00017109-RA, pdam_00012572-RA, pdam_00012571-RA, pdam_00012570-RA, pdam_00022480-RA, pdam_00023703-RA, pdam_00021544-RA, pdam_00002929-RA, pdam_00002930-RA	NV2t017344001.1, NV2t017344002.1, NV2t017344003.1, NV2t017347001.1, NV2t017345001.1, NV2t017345002.1, NV2t017347002.1
OG0000206	pdam_00007371-RA, pdam_00007370-RA, pdam_00007373-RA, pdam_00007369-RA, pdam_00007368-RA, pdam_00007380-RA, pdam_00007372-RA, pdam_00007378-RA	NV2t014049001.1, NV2t014050001.1, NV2t023706006.1, NV2t023706003.1, NV2t023706005.1, NV2t023706002.1, NV2t023706004.1, NV2t014041001.1, NV2t014043001.1, NV2t014041003.1, NV2t014041002.1, NV2t014046006.1, NV2t014046003.1, NV2t014046004.1, NV2t014046005.1, NV2t014047001.1, NV2t014048001.1, NV2t014046001.1, NV2t014046002.1
OG0000207	pdam_00018113-RA, pdam_00024476-RA, pdam_00018110-RA, pdam_00024036-RA, pdam_00022182-RA, pdam_00018754-RA, pdam_00001409-RA, pdam_00014334-RA, pdam_00024090-RA, pdam_00024243-RA, pdam_00002381-RA, pdam_00001613-RA, pdam_00001612-RA, pdam_00002382-RA, pdam_00009967-RA, pdam_00024475-RA, pdam_00024724-RA, pdam_00024723-RA, pdam_00018111-RA	NV2t003140001.1, NV2t003140002.1, NV2t013033001.1
OG0000207	pdam_00003819-RA	NV2t004700001.1
OG0000208	pdam_00002834-RA, pdam_00002835-RA, pdam_00017402-RA	NV2t019727001.1
OG0000208	pdam_00013078-RA, pdam_00022013-RA, pdam_00015838-RA, pdam_00022014-RA, pdam_00015839-RA, pdam_00008915-RA, pdam_00008914-RA, pdam_00008913-RA, pdam_00008912-RA	NV2t004553002.1, NV2t004553004.1, NV2t004553003.1, NV2t004553001.1, NV2t015669002.1, NV2t015669005.1, NV2t015669006.1, NV2t015669003.1, NV2t015669001.1, NV2t015669004.1
OG0000209	pdam_00009263-RA	NV2t017591001.1
OG0000210	pdam_00007934-RA	NV2t013221001.1
OG0000210	pdam_00000706-RA, pdam_00000705-RA	NV2t013220001.1
OG0000210	pdam_00013958-RA, pdam_00023593-RA	NV2t023144001.1, NV2t023144002.1
OG0000210	pdam_00016427-RA, pdam_00021326-RA, pdam_00004603-RA, pdam_00021325-RA	NV2t012282001.1
OG0000210	pdam_00005697-RA	NV2t007809001.1
OG0000210	pdam_00005698-RA	NV2t007416001.1
OG0000212	pdam_00015234-RA	NV2t019098001.1
OG0000212	pdam_00011700-RA, pdam_00016964-RA, pdam_00016954-RA, pdam_00016953-RA	NV2t018089001.1, NV2t018089002.1, NV2t018089003.1
OG0000212	pdam_00012471-RA	NV2t018086001.1, NV2t018086002.1
OG0000212	pdam_00011690-RA, pdam_00015239-RA, pdam_00011691-RA, pdam_00011692-RA	NV2t019093001.1
OG0000214	pdam_00005703-RA	NV2t007950001.1
OG0000214	pdam_00005708-RA, pdam_00005704-RA, pdam_00005707-RA	NV2t007367001.1
OG0000215	pdam_00022607-RA, pdam_00022606-RA, pdam_00012752-RA, pdam_00023721-RA, pdam_00012757-RA, pdam_00012754-RA, pdam_00012755-RA, pdam_00012758-RA, pdam_00018434-RA, pdam_00018433-RA, pdam_00012756-RA, pdam_00018436-RA, pdam_00018435-RA, pdam_00012753-RA, pdam_00017329-RA, pdam_00009586-RA, pdam_00006685-RA, pdam_00025987-RA, pdam_00017330-RA, pdam_00009543-RA, pdam_00025318-RA, pdam_00007796-RA, pdam_00019159-RA, pdam_00023722-RA	NV2t020571001.1
OG0000216	pdam_00022828-RA	NV2t020467001.1, NV2t020463001.1, NV2t020463003.1, NV2t020465007.1, NV2t020462003.1, NV2t020462004.1, NV2t020462006.1, NV2t020462005.1, NV2t020462002.1, NV2t020462007.1, NV2t020465005.1, NV2t020463002.1, NV2t020463004.1, NV2t020463005.1, NV2t020465002.1, NV2t020465001.1, NV2t020465003.1, NV2t020465006.1, NV2t020465004.1, NV2t020465008.1
OG0000217	pdam_00003558-RA	NV2t010232001.1, NV2t016576001.1
OG0000217	pdam_00005551-RA, pdam_00009517-RA, pdam_00007828-RA, pdam_00007827-RA	NV2t013847001.1, NV2t018114001.1, NV2t025674001.1, NV2t025675001.1, NV2t025675002.1
OG0000217	pdam_00000902-RA	NV2t005984001.1, NV2t005985001.1
OG0000218	pdam_00025327-RA, pdam_00025085-RA, pdam_00023381-RA, pdam_00025546-RA, pdam_00017711-RA, pdam_00006728-RA, pdam_00016863-RA, pdam_00016860-RA, pdam_00019547-RA, pdam_00020273-RA, pdam_00023019-RA, pdam_00025334-RA, pdam_00006367-RA, pdam_00000580-RA, pdam_00021072-RA, pdam_00006366-RA, pdam_00013733-RA, pdam_00014082-RA, pdam_00023104-RA, pdam_00019730-RA, pdam_00023734-RA, pdam_00003621-RA, pdam_00013479-RA, pdam_00011314-RA	NV2t011864001.1
OG0000220	pdam_00016272-RA, pdam_00023928-RA, pdam_00023930-RA, pdam_00023929-RA, pdam_00016268-RA, pdam_00016267-RA, pdam_00016265-RA, pdam_00016264-RA, pdam_00016260-RA, pdam_00016266-RA, pdam_00011178-RA, pdam_00023931-RA, pdam_00016277-RA, pdam_00016276-RA, pdam_00016275-RA, pdam_00016271-RA, pdam_00016273-RA, pdam_00011179-RA, pdam_00016278-RA, pdam_00017751-RA, pdam_00016274-RA, pdam_00016279-RA	NV2t012993001.1, NV2t008353001.1, NV2t012610001.1, NV2t014190001.1, NV2t011971001.1
OG0000221	pdam_00007834-RA	NV2t025496001.1, NV2t025496002.1, NV2t025496003.1, NV2t025496005.1, NV2t025496006.1, NV2t025496004.1
OG0000221	pdam_00004404-RA, pdam_00004413-RA	NV2t023676001.1
OG0000221	pdam_00014981-RA	NV2t024185001.1
OG0000222	pdam_00019469-RA	NV2t019717002.1, NV2t016244001.1, NV2t019717001.1
OG0000222	pdam_00017405-RA, pdam_00013691-RA, pdam_00015585-RA, pdam_00013402-RA, pdam_00013401-RA, pdam_00007755-RA, pdam_00007756-RA, pdam_00020176-RA, pdam_00025268-RA, pdam_00025269-RA, pdam_00019396-RA, pdam_00002022-RA, pdam_00018139-RA, pdam_00021249-RA, pdam_00021250-RA, pdam_00024179-RA, pdam_00019014-RA, pdam_00013195-RA	NV2t014366001.1, NV2t014367001.1, NV2t011058001.1, NV2t016245001.1, NV2t001131001.1
OG0000223	pdam_00009477-RA	NV2t015665001.1, NV2t021127001.1
OG0000223	pdam_00012272-RA	NV2t000952001.1
OG0000223	pdam_00003371-RA, pdam_00003367-RA	NV2t006633001.1, NV2t000636001.1, NV2t017220001.1, NV2t017220002.1
OG0000224	pdam_00022616-RA	NV2t006163001.1
OG0000224	pdam_00003204-RA, pdam_00011035-RA	NV2t000151001.1
OG0000224	pdam_00007194-RA	NV2t017763001.1
OG0000224	pdam_00007192-RA	NV2t018426001.1
OG0000224	pdam_00007191-RA	NV2t018425001.1
OG0000224	pdam_00003202-RA	NV2t013890002.1, NV2t013890005.1, NV2t013890001.1, NV2t013890003.1, NV2t013890004.1
OG0000224	pdam_00008910-RA	NV2t015569001.1
OG0000224	pdam_00023594-RA, pdam_00021662-RA, pdam_00012191-RA	NV2t013859001.1
OG0000225	pdam_00023603-RA, pdam_00003006-RA, pdam_00025279-RA, pdam_00023614-RA, pdam_00016292-RA, pdam_00025929-RA, pdam_00025548-RA, pdam_00023615-RA, pdam_00023620-RA, pdam_00023613-RA, pdam_00016294-RA, pdam_00016293-RA, pdam_00016290-RA, pdam_00016291-RA, pdam_00025884-RA	NV2t021315001.1, NV2t021321001.1, NV2t021308001.1, NV2t021322001.1, NV2t021310001.1, NV2t021318001.1, NV2t021316001.1, NV2t021317001.1, NV2t021309001.1
OG0000226	pdam_00001599-RA	NV2t008829001.1, NV2t008829002.1, NV2t008828001.1, NV2t008364004.1, NV2t008364001.1, NV2t008364002.1, NV2t008364003.1, NV2t008367001.1, NV2t009314001.1, NV2t009314002.1
OG0000226	pdam_00001598-RA	NV2t008394001.1, NV2t008394002.1
OG0000227	pdam_00019870-RA	NV2t017646001.1
OG0000227	pdam_00002311-RA	NV2t013599001.1, NV2t005853001.1, NV2t013600001.1, NV2t006372001.1, NV2t025282001.1, NV2t014016001.1, NV2t003904001.1, NV2t023828001.1
OG0000227	pdam_00010282-RA, pdam_00001332-RA, pdam_00001334-RA, pdam_00010277-RA, pdam_00010026-RA	NV2t005015001.1
OG0000229	pdam_00014606-RA	NV2t009968001.1, NV2t009968002.1, NV2t009968003.1
OG0000229	pdam_00002128-RA, pdam_00002129-RA	NV2t017817001.1
OG0000229	pdam_00002132-RA	NV2t017679001.1
OG0000229	pdam_00002130-RA	NV2t017813001.1
OG0000229	pdam_00020023-RA	NV2t021256001.1
OG0000229	pdam_00008548-RA	NV2t018515001.1
OG0000229	pdam_00011211-RA, pdam_00012496-RA, pdam_00011210-RA	NV2t018530001.1
OG0000229	pdam_00002629-RA, pdam_00008011-RA	NV2t021975001.1
OG0000230	pdam_00018319-RA	NV2t005899003.1, NV2t005899016.1, NV2t005899015.1, NV2t005899017.1, NV2t005899022.1, NV2t005899014.1, NV2t005899018.1, NV2t005899009.1, NV2t005899013.1, NV2t005899012.1, NV2t005899023.1, NV2t005899011.1, NV2t005899019.1, NV2t005899020.1, NV2t005899010.1, NV2t005899008.1, NV2t005899021.1, NV2t005899005.1, NV2t005899006.1
OG0000231	pdam_00019905-RA, pdam_00019904-RA	NV2t018907001.1, NV2t015579001.1, NV2t018399003.1
OG0000231	pdam_00023033-RA	NV2t004608001.1, NV2t004608002.1, NV2t019157001.1, NV2t002285001.1
OG0000231	pdam_00014579-RA, pdam_00023627-RA, pdam_00017301-RA	NV2t014880001.1, NV2t019812001.1, NV2t002329001.1, NV2t008678001.1, NV2t015287001.1, NV2t002190001.1, NV2t024759002.1, NV2t024755001.1
OG0000231	pdam_00025202-RA	NV2t013118001.1
OG0000232	pdam_00001328-RA	NV2t005509001.1
OG0000232	pdam_00012803-RA, pdam_00001327-RA, pdam_00000140-RA, pdam_00007667-RA, pdam_00007659-RA, pdam_00007662-RA, pdam_00007661-RA, pdam_00007660-RA, pdam_00007672-RA, pdam_00007668-RA, pdam_00007671-RA, pdam_00010602-RA, pdam_00013092-RA, pdam_00025965-RA, pdam_00013086-RA, pdam_00025624-RA, pdam_00013088-RA, pdam_00013091-RA, pdam_00002650-RA, pdam_00012804-RA, pdam_00001155-RA, pdam_00015850-RA, pdam_00001153-RA	NV2t003169001.1
OG0000233	pdam_00005741-RA, pdam_00005756-RA, pdam_00005755-RA	NV2t022450001.1
OG0000233	pdam_00010564-RA, pdam_00010566-RA, pdam_00004452-RA	NV2t019954001.1, NV2t007850001.1, NV2t007847001.1, NV2t021355002.1, NV2t021355001.1
OG0000233	pdam_00010567-RA, pdam_00010568-RA, pdam_00010570-RA, pdam_00010569-RA, pdam_00010572-RA, pdam_00010573-RA, pdam_00010571-RA	NV2t011906001.1
OG0000233	pdam_00002280-RA	NV2t005786001.1, NV2t012575001.1
OG0000234	pdam_00004592-RA, pdam_00002090-RA, pdam_00024500-RA, pdam_00013547-RA, pdam_00018222-RA, pdam_00010565-RA, pdam_00001489-RA, pdam_00016897-RA, pdam_00022216-RA, pdam_00015302-RA, pdam_00014316-RA, pdam_00024910-RA, pdam_00001488-RA, pdam_00024499-RA, pdam_00015433-RA, pdam_00015432-RA, pdam_00013093-RA, pdam_00006551-RA	NV2t006428001.1, NV2t016073001.1, NV2t016073002.1, NV2t007233002.1, NV2t007233003.1, NV2t007233004.1, NV2t007233001.1, NV2t010692001.1
OG0000236	pdam_00021264-RA, pdam_00021266-RA	NV2t000521002.1, NV2t000521001.1, NV2t000521003.1, NV2t000521004.1, NV2t000521005.1
OG0000236	pdam_00021267-RA, pdam_00002337-RA, pdam_00021262-RA, pdam_00025712-RA, pdam_00023946-RA, pdam_00023941-RA, pdam_00024651-RA, pdam_00024652-RA, pdam_00023481-RA, pdam_00023482-RA, pdam_00021892-RA, pdam_00022809-RA, pdam_00022810-RA, pdam_00023483-RA, pdam_00022811-RA, pdam_00023948-RA	NV2t000519002.1, NV2t000519001.1, NV2t000519003.1
OG0000237	pdam_00012028-RA	NV2t020479001.1
OG0000237	pdam_00010839-RA, pdam_00000412-RA	NV2t015476001.1
OG0000240	pdam_00000206-RA	NV2t022902003.1, NV2t022902008.1
OG0000240	pdam_00016655-RA, pdam_00024990-RA, pdam_00022987-RA, pdam_00000112-RA, pdam_00025453-RA	NV2t009467001.1
OG0000240	pdam_00004092-RA, pdam_00025653-RA, pdam_00011409-RA, pdam_00023862-RA	NV2t006506001.1, NV2t019327001.1, NV2t005155001.1, NV2t005155002.1, NV2t008409001.1, NV2t005697001.1, NV2t000710001.1
OG0000240	pdam_00007781-RA	NV2t019413001.1
OG0000241	pdam_00009667-RA	NV2t011474001.1
OG0000241	pdam_00016118-RA	NV2t003783003.1, NV2t003783001.1, NV2t003783002.1, NV2t003783009.1, NV2t003783005.1, NV2t003783007.1, NV2t003783006.1, NV2t003783004.1, NV2t003783008.1, NV2t003783015.1, NV2t003783014.1, NV2t003783016.1, NV2t003783012.1, NV2t003783011.1, NV2t003783013.1, NV2t003783010.1
OG0000242	pdam_00013103-RA	NV2t019458001.1
OG0000242	pdam_00013102-RA	NV2t020180001.1
OG0000242	pdam_00007684-RA	NV2t011025001.1
OG0000242	pdam_00007685-RA	NV2t012814001.1, NV2t012814002.1, NV2t012814003.1
OG0000242	pdam_00008508-RA, pdam_00000945-RA	NV2t011184001.1
OG0000242	pdam_00007823-RA, pdam_00018778-RA	NV2t025998001.1
OG0000243	pdam_00003642-RA	NV2t005136001.1
OG0000243	pdam_00003641-RA, pdam_00003640-RA, pdam_00003634-RA	NV2t004233001.1
OG0000243	pdam_00003404-RA, pdam_00002406-RA, pdam_00003405-RA	NV2t004139001.1, NV2t004141001.1
OG0000243	pdam_00017223-RA	NV2t000926001.1
OG0000243	pdam_00017222-RA	NV2t024767001.1
OG0000243	pdam_00017225-RA	NV2t000931001.1
OG0000243	pdam_00011706-RA	NV2t000932001.1
OG0000243	pdam_00017224-RA	NV2t000928001.1
OG0000243	pdam_00021491-RA	NV2t005100001.1
OG0000244	pdam_00003294-RA, pdam_00020880-RA, pdam_00023758-RA, pdam_00023755-RA, pdam_00025295-RA, pdam_00018972-RA, pdam_00018971-RA, pdam_00005868-RA, pdam_00015614-RA, pdam_00015615-RA, pdam_00015613-RA	NV2t007252001.1
OG0000245	pdam_00004528-RA	NV2t007615001.1
OG0000246	pdam_00025393-RA	NV2t017104001.1, NV2t001567001.1, NV2t001565001.1, NV2t001565002.1, NV2t012838001.1, NV2t004348001.1, NV2t004347001.1
OG0000246	pdam_00002377-RA	NV2t013002001.1, NV2t009460001.1, NV2t017489001.1, NV2t024989001.1, NV2t009752001.1, NV2t009813001.1, NV2t010554001.1, NV2t007928001.1, NV2t016771001.1, NV2t017637001.1, NV2t017638001.1, NV2t010597001.1, NV2t025194001.1, NV2t004959001.1, NV2t004959002.1, NV2t010555001.1
OG0000248	pdam_00024133-RA	NV2t013465003.1
OG0000248	pdam_00001983-RA	NV2t010503001.1, NV2t022998001.1, NV2t018229001.1
OG0000248	pdam_00001185-RA, pdam_00001186-RA, pdam_00001190-RA, pdam_00001188-RA, pdam_00001194-RA, pdam_00001193-RA, pdam_00001187-RA, pdam_00001189-RA, pdam_00001191-RA, pdam_00001192-RA	NV2t012789001.1
OG0000249	pdam_00016144-RA, pdam_00008281-RA, pdam_00000717-RA, pdam_00023567-RA, pdam_00008304-RA, pdam_00017325-RA, pdam_00008308-RA, pdam_00023569-RA, pdam_00000719-RA, pdam_00000718-RA	NV2t012444001.1, NV2t012444002.1, NV2t012444003.1
OG0000249	pdam_00007970-RA, pdam_00023568-RA, pdam_00023570-RA	NV2t007136005.1, NV2t007136008.1, NV2t007136007.1, NV2t007136009.1, NV2t007136001.1, NV2t007136002.1, NV2t007136003.1, NV2t007136004.1, NV2t007136006.1
OG0000250	pdam_00012088-RA	NV2t011855001.1
OG0000250	pdam_00005068-RA, pdam_00019291-RA, pdam_00005605-RA, pdam_00025252-RA, pdam_00019962-RA, pdam_00005606-RA, pdam_00007637-RA, pdam_00010870-RA, pdam_00020710-RA, pdam_00023763-RA, pdam_00021943-RA, pdam_00024115-RA, pdam_00019419-RA, pdam_00007939-RA, pdam_00021951-RA, pdam_00023080-RA, pdam_00025360-RA, pdam_00023078-RA, pdam_00013229-RA, pdam_00014642-RA, pdam_00016332-RA, pdam_00014641-RA	NV2t022144001.1
OG0000252	pdam_00025143-RA, pdam_00002918-RA, pdam_00008966-RA, pdam_00025287-RA, pdam_00007362-RA, pdam_00022757-RA, pdam_00004302-RA, pdam_00025144-RA, pdam_00015110-RA, pdam_00023912-RA, pdam_00009192-RA, pdam_00009187-RA, pdam_00012626-RA	NV2t012972001.1
OG0000252	pdam_00023331-RA, pdam_00023332-RA, pdam_00013512-RA, pdam_00007922-RA	NV2t010165001.1
OG0000253	pdam_00000046-RA	NV2t023480001.1
OG0000253	pdam_00000045-RA, pdam_00000048-RA, pdam_00000047-RA, pdam_00017290-RA	NV2t023483001.1, NV2t023483002.1
OG0000255	pdam_00000659-RA	NV2t011191001.1
OG0000255	pdam_00000660-RA	NV2t004879001.1
OG0000255	pdam_00004639-RA, pdam_00004638-RA	NV2t004557001.1, NV2t004558001.1, NV2t004249001.1
OG0000257	pdam_00010472-RA	NV2t016303001.1, NV2t016305001.1
OG0000257	pdam_00018245-RA	NV2t012379001.1
OG0000257	pdam_00019820-RA, pdam_00019822-RA, pdam_00019823-RA	NV2t007352001.1, NV2t007352002.1, NV2t007352003.1, NV2t007352005.1, NV2t007352006.1, NV2t007352007.1, NV2t007352008.1, NV2t007352004.1
OG0000258	pdam_00004886-RA	NV2t009601001.1, NV2t009601003.1, NV2t009601002.1, NV2t011326001.1, NV2t011326004.1, NV2t011326003.1, NV2t011326002.1
OG0000258	pdam_00022786-RA, pdam_00001161-RA, pdam_00022785-RA	NV2t004704001.1
OG0000260	pdam_00002296-RA, pdam_00020516-RA, pdam_00003107-RA, pdam_00003105-RA	NV2t020510001.1, NV2t020510002.1, NV2t020510003.1, NV2t020510004.1, NV2t020510005.1, NV2t020510006.1, NV2t020510007.1, NV2t020510008.1, NV2t020510009.1, NV2t020510010.1, NV2t001797001.1
OG0000260	pdam_00021265-RA	NV2t000526001.1
OG0000261	pdam_00010734-RA	NV2t009183001.1
OG0000261	pdam_00010201-RA	NV2t011028001.1
OG0000261	pdam_00008405-RA	NV2t023332001.1, NV2t023332002.1, NV2t023640001.1
OG0000263	pdam_00025250-RA, pdam_00011524-RA, pdam_00022915-RA, pdam_00024178-RA, pdam_00024177-RA, pdam_00009613-RA	NV2t015573001.1, NV2t015573002.1
OG0000263	pdam_00010165-RA, pdam_00001442-RA, pdam_00003234-RA, pdam_00018952-RA	NV2t010708001.1, NV2t012418001.1
OG0000264	pdam_00024192-RA, pdam_00023404-RA, pdam_00024191-RA, pdam_00023405-RA, pdam_00023406-RA	NV2t005553001.1, NV2t006421001.1, NV2t005777001.1, NV2t005777002.1, NV2t005789001.1, NV2t005791001.1, NV2t005792001.1, NV2t005792003.1, NV2t005794001.1, NV2t005792002.1, NV2t005796001.1, NV2t005796002.1, NV2t005796003.1
OG0000264	pdam_00019400-RA, pdam_00019399-RA, pdam_00016404-RA, pdam_00006831-RA	NV2t006478001.1, NV2t006478002.1
OG0000267	pdam_00009102-RA, pdam_00009103-RA, pdam_00002137-RA, pdam_00002138-RA, pdam_00018484-RA	NV2t018423001.1
OG0000267	pdam_00008858-RA	NV2t010163001.1, NV2t017808001.1
OG0000267	pdam_00010013-RA	NV2t020120001.1
OG0000267	pdam_00002330-RA	NV2t000530001.1
OG0000267	pdam_00011075-RA	NV2t020329001.1, NV2t020328001.1, NV2t021449001.1
OG0000267	pdam_00001041-RA, pdam_00001040-RA	NV2t022758001.1
OG0000268	pdam_00019706-RA	NV2t002685001.1, NV2t002685002.1
OG0000268	pdam_00016806-RA	NV2t012704001.1, NV2t012704002.1
OG0000268	pdam_00016805-RA	NV2t012629002.1, NV2t012629001.1
OG0000268	pdam_00014139-RA	NV2t006376001.1
OG0000268	pdam_00014424-RA	NV2t006375001.1
OG0000269	pdam_00001397-RA, pdam_00001395-RA, pdam_00001396-RA, pdam_00001399-RA, pdam_00021547-RA, pdam_00015873-RA, pdam_00015872-RA, pdam_00023968-RA, pdam_00004418-RA, pdam_00018119-RA, pdam_00018120-RA, pdam_00004416-RA, pdam_00025153-RA, pdam_00015869-RA, pdam_00023970-RA, pdam_00004420-RA, pdam_00004421-RA, pdam_00004419-RA	NV2t025583001.1
OG0000270	pdam_00013765-RA	NV2t020861001.1
OG0000271	pdam_00009435-RA	NV2t005817001.1
OG0000271	pdam_00003579-RA	NV2t017619001.1
OG0000271	pdam_00018237-RA	NV2t016948001.1
OG0000271	pdam_00015497-RA	NV2t021346001.1
OG0000271	pdam_00014115-RA	NV2t005936001.1, NV2t005936002.1
OG0000272	pdam_00009839-RA	NV2t012320002.1, NV2t012320001.1, NV2t012320003.1
OG0000272	pdam_00013793-RA	NV2t018281001.1
OG0000272	pdam_00005618-RA	NV2t018597001.1
OG0000272	pdam_00005620-RA	NV2t018560001.1, NV2t018560002.1
OG0000272	pdam_00007647-RA	NV2t023451001.1
OG0000272	pdam_00005619-RA	NV2t018559001.1, NV2t018599001.1
OG0000276	pdam_00015035-RA, pdam_00017771-RA, pdam_00017774-RA, pdam_00020463-RA, pdam_00020462-RA, pdam_00020461-RA	NV2t003669001.1, NV2t003671001.1
OG0000276	pdam_00017773-RA, pdam_00017770-RA, pdam_00020467-RA, pdam_00020468-RA, pdam_00020469-RA, pdam_00020465-RA	NV2t002779001.1
OG0000278	pdam_00014650-RA	NV2t024402001.1, NV2t024402002.1, NV2t021049001.1, NV2t003267001.1, NV2t016042001.1, NV2t024673001.1, NV2t012718001.1, NV2t009469001.1, NV2t025903001.1, NV2t009499001.1, NV2t011149001.1, NV2t005600001.1, NV2t012231001.1, NV2t002179001.1, NV2t012094001.1, NV2t007803001.1, NV2t013981002.1, NV2t018161001.1, NV2t018161002.1, NV2t006748001.1, NV2t025776001.1, NV2t023945001.1
OG0000279	pdam_00017947-RA	NV2t021487001.1, NV2t019189001.1, NV2t004878001.1, NV2t003703001.1, NV2t019220001.1, NV2t015098001.1, NV2t008036001.1, NV2t008066001.1, NV2t004252001.1, NV2t016079001.1, NV2t008040001.1, NV2t019555001.1, NV2t007421001.1, NV2t015035001.1, NV2t020405001.1, NV2t002888001.1, NV2t004623001.1, NV2t023213001.1, NV2t004413001.1, NV2t009036001.1, NV2t024922001.1, NV2t019508002.1
OG0000280	pdam_00002805-RA, pdam_00025702-RA	NV2t006815001.1, NV2t025763001.1, NV2t003961001.1, NV2t003961002.1, NV2t002333001.1, NV2t002333002.1, NV2t009465001.1, NV2t015762002.1, NV2t015762001.1, NV2t006011001.1, NV2t022456001.1, NV2t025837001.1, NV2t025837004.1, NV2t025837005.1, NV2t025837002.1, NV2t025837003.1, NV2t022093001.1, NV2t015768001.1, NV2t023032001.1, NV2t020069001.1, NV2t025837006.1
OG0000282	pdam_00013182-RA, pdam_00022161-RA, pdam_00013183-RA, pdam_00013181-RA, pdam_00022160-RA, pdam_00001103-RA, pdam_00013873-RA, pdam_00013870-RA, pdam_00013872-RA, pdam_00013867-RA, pdam_00013871-RA, pdam_00013869-RA, pdam_00013868-RA, pdam_00013184-RA, pdam_00002771-RA, pdam_00002773-RA, pdam_00002772-RA, pdam_00002774-RA, pdam_00023314-RA, pdam_00023922-RA, pdam_00023921-RA	NV2t010512001.1, NV2t024738001.1
OG0000283	pdam_00012026-RA	NV2t019509001.1, NV2t019509002.1
OG0000283	pdam_00015383-RA	NV2t020636001.1
OG0000283	pdam_00006939-RA	NV2t015065001.1
OG0000283	pdam_00016485-RA	NV2t020036001.1
OG0000283	pdam_00012027-RA	NV2t019508001.1
OG0000283	pdam_00016483-RA	NV2t020520001.1, NV2t020520002.1
OG0000283	pdam_00006522-RA, pdam_00006519-RA, pdam_00006518-RA, pdam_00022368-RA, pdam_00022369-RA, pdam_00022370-RA, pdam_00014420-RA	NV2t019556001.1
OG0000284	pdam_00016482-RA, pdam_00006511-RA, pdam_00006510-RA, pdam_00006514-RA, pdam_00006512-RA, pdam_00009930-RA, pdam_00006484-RA, pdam_00005808-RA, pdam_00005812-RA, pdam_00005811-RA, pdam_00006523-RA, pdam_00018782-RA, pdam_00018783-RA, pdam_00017000-RA, pdam_00023153-RA, pdam_00023152-RA, pdam_00006513-RA, pdam_00016481-RA, pdam_00006516-RA, pdam_00006517-RA	NV2t020518001.1
OG0000284	pdam_00006515-RA	NV2t020368001.1
OG0000285	pdam_00019919-RA, pdam_00024296-RA, pdam_00019920-RA, pdam_00023180-RA, pdam_00025428-RA, pdam_00023496-RA, pdam_00024267-RA, pdam_00014657-RA, pdam_00019976-RA, pdam_00007033-RA, pdam_00019975-RA, pdam_00007024-RA, pdam_00024266-RA, pdam_00024217-RA, pdam_00024218-RA, pdam_00024601-RA, pdam_00018892-RA, pdam_00007025-RA, pdam_00019974-RA, pdam_00007032-RA, pdam_00024062-RA, pdam_00024063-RA	NV2t000338001.1
OG0000286	pdam_00008940-RA, pdam_00015141-RA, pdam_00002990-RA, pdam_00006138-RA, pdam_00006139-RA, pdam_00006140-RA, pdam_00015082-RA, pdam_00020861-RA, pdam_00020860-RA, pdam_00020859-RA, pdam_00020863-RA, pdam_00006142-RA, pdam_00020862-RA, pdam_00020864-RA, pdam_00006141-RA, pdam_00022319-RA, pdam_00022316-RA, pdam_00022317-RA, pdam_00022318-RA, pdam_00009264-RA, pdam_00022320-RA, pdam_00022321-RA	NV2t001912001.1
OG0000287	pdam_00015532-RA, pdam_00015533-RA	NV2t012529001.1, NV2t012529002.1
OG0000287	pdam_00012655-RA	NV2t010682001.1
OG0000287	pdam_00012654-RA	NV2t010619001.1
OG0000288	pdam_00005306-RA	NV2t011743001.1, NV2t011044001.1
OG0000288	pdam_00005307-RA	NV2t019047001.1, NV2t010788001.1
OG0000288	pdam_00023991-RA	NV2t008312001.1
OG0000288	pdam_00010176-RA	NV2t008823001.1, NV2t008825001.1
OG0000288	pdam_00024998-RA, pdam_00025717-RA, pdam_00024997-RA, pdam_00007277-RA, pdam_00007278-RA, pdam_00007279-RA	NV2t012312001.1, NV2t012312002.1
OG0000289	pdam_00019597-RA, pdam_00013860-RA, pdam_00013861-RA, pdam_00013863-RA, pdam_00013862-RA	NV2t009751001.1, NV2t009751003.1, NV2t015603001.1
OG0000289	pdam_00002778-RA	NV2t010144001.1
OG0000289	pdam_00002775-RA	NV2t010316001.1
OG0000289	pdam_00001918-RA	NV2t010295001.1
OG0000289	pdam_00001798-RA, pdam_00002779-RA	NV2t010254001.1
OG0000290	pdam_00006245-RA	NV2t016546002.1, NV2t016546003.1, NV2t016547001.1, NV2t016547002.1, NV2t016547003.1, NV2t016547004.1, NV2t023660001.1, NV2t000312001.1, NV2t000307001.1, NV2t000309001.1, NV2t017208001.1
OG0000290	pdam_00015296-RA, pdam_00022580-RA	NV2t016371001.1
OG0000290	pdam_00005392-RA, pdam_00006579-RA, pdam_00022579-RA	NV2t017124001.1, NV2t017124002.1
OG0000291	pdam_00003094-RA	NV2t013250001.1, NV2t013250002.1, NV2t013250003.1, NV2t013250004.1, NV2t013250005.1, NV2t013250006.1
OG0000291	pdam_00006234-RA, pdam_00022842-RA	NV2t012458002.1, NV2t012458001.1, NV2t012458003.1
