Orthogroup	Nvec	Hsap
OG0001480	NV2t001824004.1, NV2t001824001.1, NV2t001824002.1, NV2t001824003.1	ZAP70_HUMAN, KSYK_HUMAN
OG0001497	NV2t004636005.1, NV2t004636004.1, NV2t004636006.1, NV2t004636001.1, NV2t004636002.1, NV2t004636003.1	TBC20_HUMAN
OG0001276	NV2t003372001.1, NV2t003372002.1, NV2t003372003.1	TICN2_HUMAN, TICN1_HUMAN, TICN3_HUMAN
OG0001294	NV2t014689002.1, NV2t014689001.1, NV2t014692001.1, NV2t014689003.1, NV2t014689004.1	ZN641_HUMAN, RHIT_HUMAN
OG0001309	NV2t020632001.1	CO72L_HUMAN, CX7A1_HUMAN, COX7S_HUMAN, CX7A2_HUMAN
OG0001328	NV2t003782001.1, NV2t003782002.1, NV2t003782003.1	HAGHL_HUMAN, GLO2_HUMAN, PNKD_HUMAN
OG0001342	NV2t017654001.1	COE1_HUMAN, COE2_HUMAN, COE4_HUMAN, COE3_HUMAN
OG0001385	NV2t004058001.1	S6A19_HUMAN, S6A18_HUMAN, S6A20_HUMAN
OG0001402	NV2t005990001.1	VINEX_HUMAN, SRBS1_HUMAN, SRBS2_HUMAN
OG0001436	NV2t019266002.1, NV2t019266001.1, NV2t019266004.1, NV2t019266006.1, NV2t019266003.1, NV2t019266005.1	PDCD4_HUMAN
OG0001450	NV2t011165001.1, NV2t011167001.1	UB2E1_HUMAN, UB2E3_HUMAN, UB2E2_HUMAN
OG0001467	NV2t003950001.1, NV2t003950004.1, NV2t003950002.1, NV2t003950003.1	MAPK2_HUMAN, MAPK3_HUMAN
OG0001410	NV2t001442001.1, NV2t016613001.1, NV2t016613003.1	DNSL2_HUMAN, DNAS1_HUMAN
OG0001416	NV2t005463001.1, NV2t005463002.1, NV2t005463003.1, NV2t021072001.1, NV2t021090001.1	ZHANG_HUMAN
OG0001432	NV2t000943005.1, NV2t000943001.1, NV2t000943002.1, NV2t000943003.1, NV2t000943006.1, NV2t000943004.1	CERK1_HUMAN
OG0001447	NV2t013477009.1, NV2t013477011.1, NV2t013477006.1, NV2t013477001.1, NV2t013477010.1	ATD3A_HUMAN, ATD3B_HUMAN
OG0001464	NV2t014944001.1, NV2t014944004.1, NV2t014944006.1, NV2t014944002.1, NV2t014944003.1, NV2t014944005.1	ELYS_HUMAN
OG0001482	NV2t025245001.1, NV2t025245002.1, NV2t025245003.1, NV2t025245004.1	RGPS1_HUMAN, RGPS2_HUMAN
OG0001498	NV2t008055001.1, NV2t008055002.1	RFOX2_HUMAN, RFOX3_HUMAN, RFOX1_HUMAN
OG0001502	NV2t021704001.1	TNIK_HUMAN, MINK1_HUMAN, M4K4_HUMAN
OG0001507	NV2t008292001.1, NV2t008292002.1	SCML1_HUMAN, SCML2_HUMAN, SCML4_HUMAN, SCMH1_HUMAN
OG0001307	NV2t020853001.1, NV2t020330001.1	DHRS7_HUMAN
OG0001325	NV2t000261001.1	KDM5B_HUMAN, KDM5A_HUMAN, KDM5C_HUMAN, KDM5D_HUMAN
OG0001339	NV2t009808001.1	T11L1_HUMAN, T11L2_HUMAN, T11X1_HUMAN, T11X2_HUMAN, TCP11_HUMAN
OG0001359	NV2t009998001.1	PRLHR_HUMAN, NPY42_HUMAN, NPY4R_HUMAN, NPY1R_HUMAN, NPY6R_HUMAN
OG0001374	NV2t017442001.1	ALX3_HUMAN, ALX1_HUMAN, ALX4_HUMAN
OG0001389	NV2t011580001.1, NV2t011580004.1, NV2t011580002.1, NV2t011580003.1	PTN3_HUMAN, PTN4_HUMAN
OG0001405	NV2t019780001.1, NV2t020000001.1	CTSRE_HUMAN
OG0001437	NV2t002778001.1	SYN1_HUMAN, SYN3_HUMAN, SYN2_HUMAN
OG0001452	NV2t015022003.1, NV2t015022001.1, NV2t015022004.1, NV2t015022002.1, NV2t015022005.1, NV2t015022006.1	BBS2_HUMAN
OG0001487	NV2t000284001.1, NV2t000284002.1, NV2t000284003.1, NV2t000284004.1	SAHH2_HUMAN, SAHH3_HUMAN
OG0001504	NV2t013274001.1, NV2t013272001.1, NV2t013274002.1	IF4G1_HUMAN, IF4G3_HUMAN
OG0001520	NV2t004531004.1, NV2t004531002.1, NV2t004531001.1, NV2t004531003.1	CALB1_HUMAN, CALB2_HUMAN
OG0001537	NV2t010844001.1, NV2t010844002.1	ORML3_HUMAN, ORML2_HUMAN, ORML1_HUMAN
OG0001306	NV2t013332001.1, NV2t013332002.1	STAC3_HUMAN, STAC2_HUMAN, STAC_HUMAN
OG0001321	NV2t008949002.1, NV2t008949001.1, NV2t008949003.1, NV2t008949004.1, NV2t008949005.1	MA1A1_HUMAN, MA1A2_HUMAN
OG0001334	NV2t017773001.1, NV2t017771001.1, NV2t017773002.1	SORC2_HUMAN, SORC3_HUMAN, SORC1_HUMAN
OG0001378	NV2t011853001.1	S39A6_HUMAN, S39AA_HUMAN
OG0001382	NV2t023757001.1	HLTF_HUMAN
OG0001397	NV2t023218001.1, NV2t023218002.1, NV2t023215001.1, NV2t023215002.1	DAPK2_HUMAN, DAPK3_HUMAN
OG0001420	NV2t011742001.1, NV2t011043001.1	NEK2_HUMAN
OG0001451	NV2t013924003.1, NV2t013924002.1, NV2t013924001.1, NV2t013924004.1	CDS2_HUMAN, CDS1_HUMAN
OG0001486	NV2t002129001.1, NV2t002129002.1, NV2t002129003.1, NV2t002129004.1, NV2t002129005.1, NV2t002129006.1	FBH1_HUMAN
OG0001518	NV2t014862004.1, NV2t014862001.1, NV2t014862002.1, NV2t014862003.1	MDGA2_HUMAN, MDGA1_HUMAN
OG0001536	NV2t020879001.1, NV2t020879002.1	ATLA1_HUMAN, ATLA3_HUMAN, ATLA2_HUMAN
OG0001384	NV2t017004001.1, NV2t005805001.1, NV2t005806001.1	1433E_HUMAN
OG0001398	NV2t002875001.1, NV2t002875002.1, NV2t002875003.1	TPT2L_HUMAN, AKD1A_HUMAN, SPOT1_HUMAN, TPTE2_HUMAN, TPTE_HUMAN
OG0001415	NV2t020623003.1, NV2t020623001.1, NV2t020623002.1, NV2t020625001.1, NV2t020625002.1	RPAC1_HUMAN
OG0001431	NV2t000900001.1, NV2t000900003.1, NV2t000900002.1, NV2t000906001.1	MANF_HUMAN, CDNF_HUMAN
OG0001445	NV2t022489001.1	MGT4C_HUMAN
OG0001459	NV2t003215001.1, NV2t003215002.1	SGCG_HUMAN, SGCD_HUMAN, SGCZ_HUMAN
OG0001477	NV2t005124003.1, NV2t005124004.1, NV2t005124001.1, NV2t005124005.1, NV2t005124002.1	ATX3L_HUMAN, ATX3_HUMAN
OG0001493	NV2t013950001.1, NV2t013950002.1, NV2t013950003.1	DVL3_HUMAN, DVL1_HUMAN, DVLP1_HUMAN
OG0001526	NV2t010789002.1, NV2t010789001.1, NV2t010789003.1	MYO3B_HUMAN, MYO3A_HUMAN
OG0001543	NV2t020383003.1, NV2t020383004.1, NV2t020383002.1, NV2t020383005.1, NV2t020383001.1, NV2t020379001.1	ZN318_HUMAN
OG0001380	NV2t010861001.1, NV2t010862001.1, NV2t010867001.1	FIGLA_HUMAN
OG0001396	NV2t006716001.1, NV2t006716002.1, NV2t006716003.1, NV2t016606001.1	FKBP7_HUMAN, FKB14_HUMAN
OG0001422	NV2t022740001.1, NV2t022740002.1, NV2t024332001.1	BST1_HUMAN, CD38_HUMAN
OG0001457	NV2t023669001.1	PPIC_HUMAN, PPIB_HUMAN, PPIG_HUMAN
OG0001474	NV2t012422001.1, NV2t021986001.1, NV2t016701001.1, NV2t010974001.1	LITAD_HUMAN, LITAF_HUMAN
OG0001492	NV2t013537002.1, NV2t013537003.1	ENOA_HUMAN, ENOG_HUMAN, ENOB_HUMAN
OG0001510	NV2t008579001.1, NV2t008579002.1	RCAN1_HUMAN, RCAN3_HUMAN, RCAN2_HUMAN
OG0001527	NV2t011520001.1, NV2t010599001.1, NV2t010600001.1	AHR_HUMAN, AHRR_HUMAN
OG0001532	NV2t012527003.1, NV2t012527004.1, NV2t012527002.1, NV2t012527001.1, NV2t012527005.1	PRR36_HUMAN, BTBD8_HUMAN
OG0001548	NV2t012831001.1, NV2t012831002.1, NV2t012831003.1, NV2t012831004.1	OXSR1_HUMAN, STK39_HUMAN
OG0001563	NV2t025310001.1, NV2t025310002.1, NV2t025307001.1, NV2t025304001.1, NV2t025304002.1	BAG6_HUMAN
OG0001408	NV2t023366001.1, NV2t023366002.1	MP2K1_HUMAN, MP2K2_HUMAN
OG0001426	NV2t002508007.1, NV2t002508001.1, NV2t002508002.1, NV2t006026001.1, NV2t006026002.1	TASOR_HUMAN
OG0001440	NV2t005452002.1, NV2t005452004.1, NV2t005452003.1, NV2t005452005.1, NV2t005452001.1, NV2t005452006.1	INT8_HUMAN
OG0001488	NV2t003381001.1	FOLR2_HUMAN, FOLR3_HUMAN, FOLR1_HUMAN, JUNO_HUMAN
OG0001539	NV2t011941004.1, NV2t011941005.1, NV2t011941002.1, NV2t011941006.1, NV2t011941001.1, NV2t011941003.1	POLH_HUMAN
OG0001556	NV2t007111004.1, NV2t007111005.1, NV2t007111002.1, NV2t007111003.1, NV2t007111001.1	DPH7_HUMAN
OG0001572	NV2t025738002.1, NV2t025738004.1, NV2t025738003.1, NV2t025738001.1, NV2t025738005.1, NV2t025738006.1	NPDC1_HUMAN
OG0001417	NV2t011364001.1, NV2t011367001.1, NV2t011367004.1, NV2t011367003.1, NV2t011367005.1, NV2t011367002.1	BANP_HUMAN
OG0001433	NV2t012327002.1, NV2t012327004.1, NV2t012327001.1, NV2t012327005.1	SMRC1_HUMAN, SMRC2_HUMAN
OG0001462	NV2t024253001.1	ATS12_HUMAN, ATS7_HUMAN, ATS6_HUMAN, ATS10_HUMAN
OG0001479	NV2t000955001.1, NV2t000955002.1	P85B_HUMAN, P85A_HUMAN, P55G_HUMAN
OG0001496	NV2t000722001.1, NV2t000722002.1	KIF2C_HUMAN, KIF2B_HUMAN, KIF2A_HUMAN
OG0001530	NV2t012001001.1	GRP4_HUMAN, GRP1_HUMAN, GRP3_HUMAN, GRP2_HUMAN
OG0001546	NV2t016735001.1, NV2t016735002.1, NV2t016735003.1, NV2t016735004.1	NOL4L_HUMAN, NOL4_HUMAN
OG0001562	NV2t017945002.1, NV2t017945003.1, NV2t017945001.1, NV2t017945004.1	IPO8_HUMAN, IPO7_HUMAN
OG0001577	NV2t024697001.1, NV2t024509001.1, NV2t024507001.1, NV2t024511001.1, NV2t024699001.1, NV2t024699002.1	S18B1_HUMAN
OG0001593	NV2t019321001.1, NV2t019321003.1, NV2t019321002.1	COQ8A_HUMAN, COQ8B_HUMAN
OG0001442	NV2t004083001.1, NV2t004083002.1	EFS_HUMAN, CASL_HUMAN, BCAR1_HUMAN
OG0001456	NV2t010359001.1, NV2t017017001.1, NV2t017016001.1	RM44_HUMAN
OG0001472	NV2t002268002.1, NV2t002268004.1, NV2t002268001.1, NV2t002268003.1	LAP2B_HUMAN, LAP2A_HUMAN
OG0001489	NV2t003256001.1, NV2t003256002.1	JADE3_HUMAN, JADE2_HUMAN, JADE1_HUMAN
OG0001505	NV2t017954001.1, NV2t017954002.1, NV2t017954003.1	CBPC3_HUMAN, CBPC2_HUMAN
OG0001519	NV2t004825001.1, NV2t004825002.1	PAR6A_HUMAN, PAR6B_HUMAN, PAR6G_HUMAN
OG0001524	NV2t004362001.1, NV2t001052001.1	CT202_HUMAN, F167B_HUMAN, F167A_HUMAN
OG0001541	NV2t011790003.1, NV2t011790004.1, NV2t011790002.1, NV2t011790001.1	KI26B_HUMAN, KI26A_HUMAN
OG0001557	NV2t023134001.1, NV2t023134002.1	CRTC1_HUMAN, CRTC3_HUMAN, CRTC2_HUMAN
OG0001571	NV2t022569002.1, NV2t022569004.1, NV2t022569005.1, NV2t022569006.1, NV2t022569003.1, NV2t022569001.1	TTC12_HUMAN
OG0001586	NV2t002511001.1, NV2t002511002.1	ITPR1_HUMAN, ITPR3_HUMAN, ITPR2_HUMAN
OG0001600	NV2t007488001.1	SNG3_HUMAN, SNG1_HUMAN, SNG2L_HUMAN, SNG2_HUMAN
OG0001615	NV2t002296006.1, NV2t002296004.1, NV2t002296003.1, NV2t002296005.1	HEM1_HUMAN, HEM0_HUMAN
OG0001514	NV2t018313001.1, NV2t012412001.1, NV2t011935001.1	HME1_HUMAN, HME2_HUMAN
OG0001547	NV2t016752001.1, NV2t015889001.1	XKR4_HUMAN, XKR6_HUMAN, XKR7_HUMAN
OG0001552	NV2t002545001.1, NV2t002545002.1, NV2t002545003.1, NV2t002545004.1	SAR1A_HUMAN, SAR1B_HUMAN
OG0001567	NV2t013287001.1, NV2t013287004.1, NV2t013287002.1, NV2t013287003.1	MINY1_HUMAN, MINY2_HUMAN
OG0001583	NV2t002722001.1, NV2t002722002.1, NV2t002722003.1, NV2t002722004.1, NV2t002722005.1	TMT1A_HUMAN, TMT1B_HUMAN
OG0001597	NV2t007487001.1	FMNL1_HUMAN, FMNL3_HUMAN, FMNL2_HUMAN
OG0001609	NV2t009324003.1, NV2t009324005.1, NV2t009324002.1, NV2t009324006.1, NV2t009324004.1, NV2t009324001.1	FIG4_HUMAN
OG0001625	NV2t006892002.1, NV2t006892001.1, NV2t006892004.1, NV2t006892003.1	SDK2_HUMAN, SDK1_HUMAN
OG0001642	NV2t016087001.1, NV2t015533001.1	S13A3_HUMAN, S13A2_HUMAN, S13A5_HUMAN
OG0001525	NV2t005700001.1, NV2t005700002.1	ANTRL_HUMAN, ANTR1_HUMAN, ANTR2_HUMAN
OG0001542	NV2t012201002.1, NV2t012201003.1	TM63C_HUMAN, TM63B_HUMAN, TM63A_HUMAN
OG0001558	NV2t021146001.1, NV2t021218001.1	FMR1_HUMAN, FXR2_HUMAN, FXR1_HUMAN
OG0001573	NV2t025270003.1, NV2t025270001.1, NV2t025270002.1	LHX9_HUMAN, LHX2_HUMAN, CA053_HUMAN
OG0001587	NV2t013636001.1, NV2t013635001.1, NV2t013086004.1, NV2t013086002.1, NV2t013086003.1	LOXH1_HUMAN
OG0001601	NV2t002160002.1, NV2t002160003.1, NV2t002160004.1, NV2t002160006.1, NV2t002160005.1, NV2t002160001.1	CEGT_HUMAN
OG0001616	NV2t002306001.1, NV2t002306002.1, NV2t002306004.1, NV2t002306003.1	AL1L1_HUMAN, AL1L2_HUMAN
OG0001631	NV2t013400001.1, NV2t013400002.1, NV2t013400003.1, NV2t013400004.1, NV2t013400005.1	DYR_HUMAN, DYR2_HUMAN
OG0001636	NV2t022466002.1, NV2t022466003.1	ARHG4_HUMAN, ARHG9_HUMAN, SPT13_HUMAN
OG0001652	NV2t005468005.1, NV2t005468003.1, NV2t005468004.1, NV2t005468001.1, NV2t005468002.1	NECA3_HUMAN, NECA1_HUMAN
OG0001491	NV2t014545001.1, NV2t014545002.1	DDX25_HUMAN, DD19B_HUMAN, DD19A_HUMAN
OG0001508	NV2t008332004.1, NV2t008332006.1, NV2t008332005.1, NV2t008332002.1, NV2t008332001.1, NV2t008332003.1	KDM1A_HUMAN
OG0001523	NV2t005779001.1, NV2t005779002.1	TET1_HUMAN, TET3_HUMAN, TET2_HUMAN
OG0001540	NV2t012588001.1, NV2t012588002.1	PDE1B_HUMAN, PDE1A_HUMAN, PDE1C_HUMAN
OG0001555	NV2t013188001.1, NV2t013188004.1, NV2t013188002.1, NV2t013188003.1	IREB2_HUMAN, ACOHC_HUMAN
OG0001582	NV2t019927001.1, NV2t019927002.1	PELI3_HUMAN, PELI1_HUMAN, PELI2_HUMAN
OG0001626	NV2t018153002.1, NV2t018153001.1, NV2t018153003.1, NV2t018153004.1, NV2t018153005.1, NV2t018153006.1	HXK4_HUMAN
OG0001644	NV2t017284001.1, NV2t017284002.1, NV2t017284003.1, NV2t016482001.1	CC157_HUMAN, MND1_HUMAN
OG0001674	NV2t015492003.1, NV2t015492001.1, NV2t015492002.1	MK01_HUMAN, MK03_HUMAN
OG0001454	NV2t003119001.1	AT2B4_HUMAN, AT2B1_HUMAN, AT2B3_HUMAN, AT2B2_HUMAN
OG0001473	NV2t012457002.1, NV2t012457001.1, NV2t012457003.1, NV2t012457004.1, NV2t012457005.1	TRAK2_HUMAN, TRAK1_HUMAN
OG0001538	NV2t012116001.1, NV2t012116002.1	RAB5B_HUMAN, RAB5A_HUMAN, RAB5C_HUMAN
OG0001569	NV2t022707001.1, NV2t022707002.1	TNF10_HUMAN, YB003_HUMAN, TNF11_HUMAN
OG0001584	NV2t024619001.1, NV2t024621001.1, NV2t024620001.1	VP13A_HUMAN, VP13C_HUMAN
OG0001590	NV2t015238001.1, NV2t015238002.1, NV2t015238003.1	IPP2C_HUMAN, IPP2L_HUMAN, IPP2B_HUMAN, IPP2_HUMAN
OG0001604	NV2t011269002.1, NV2t011269003.1, NV2t011269001.1, NV2t011269004.1	FXL20_HUMAN, FBXL2_HUMAN
OG0001619	NV2t007029001.1	RHG44_HUMAN, RHG17_HUMAN, 3BP1_HUMAN, BGIN_HUMAN
OG0001634	NV2t021225001.1, NV2t021225002.1, NV2t021225003.1, NV2t021225004.1	DEUP1_HUMAN, CEP63_HUMAN
OG0001651	NV2t017054001.1, NV2t017115001.1, NV2t017115002.1	S43A3_HUMAN, LAT4_HUMAN, LAT3_HUMAN
OG0001683	NV2t010968001.1, NV2t010968002.1, NV2t010968004.1, NV2t010968003.1, NV2t010968005.1	S39AC_HUMAN
OG0001499	NV2t013985003.1, NV2t013985001.1, NV2t013985002.1	CHD3_HUMAN, CHD4_HUMAN, CHD5_HUMAN
OG0001515	NV2t012999001.1, NV2t001449001.1, NV2t001449002.1, NV2t006172001.1	PRD14_HUMAN
OG0001533	NV2t017328001.1, NV2t010372001.1, NV2t010397002.1	DLK2_HUMAN, DLK1_HUMAN
OG0001549	NV2t023833001.1, NV2t023833002.1	UN13C_HUMAN, UN13A_HUMAN, UN13B_HUMAN
OG0001564	NV2t024932001.1, NV2t024932002.1	SCMC2_HUMAN, SCMC1_HUMAN, SCMC3_HUMAN
OG0001579	NV2t020907001.1, NV2t020909001.1, NV2t020906003.1, NV2t020906001.1, NV2t020906002.1	CP089_HUMAN
OG0001595	NV2t020132001.1, NV2t020132002.1	SNX6_HUMAN, SNX32_HUMAN, SNX5_HUMAN
OG0001613	NV2t002517001.1, NV2t002517002.1, NV2t002517003.1, NV2t002517004.1	MPEG1_HUMAN
OG0001629	NV2t019995001.1, NV2t005721001.1, NV2t005719001.1, NV2t005723001.1, NV2t021314001.1, NV2t005723002.1	KHK_HUMAN
OG0001680	NV2t024375002.1	COBA2_HUMAN, CO5A1_HUMAN, COBA1_HUMAN
OG0001696	NV2t016941001.1	ST18_HUMAN, MYT1L_HUMAN, MYT1_HUMAN
OG0001711	NV2t025186001.1, NV2t007683001.1, NV2t014812001.1, NV2t023400001.1	CCBE1_HUMAN
OG0001512	NV2t015971001.1, NV2t015971002.1, NV2t015971003.1, NV2t015971004.1, NV2t015971006.1	CIPC_HUMAN
OG0001529	NV2t011595001.1	MYL9_HUMAN, ML12A_HUMAN, ML12B_HUMAN
OG0001545	NV2t012121001.1, NV2t012121002.1	ANR28_HUMAN, ANR44_HUMAN, ANR52_HUMAN
OG0001561	NV2t014273002.1, NV2t014273004.1, NV2t014273001.1, NV2t014273003.1	PPIP1_HUMAN, PPIP2_HUMAN
OG0001576	NV2t025143001.1	SFPA2_HUMAN, SFTA1_HUMAN, COL10_HUMAN, SFTPD_HUMAN
OG0001605	NV2t012598001.1	CNPY3_HUMAN, CNPY4_HUMAN
OG0001621	NV2t008946002.1, NV2t007183002.1, NV2t007183001.1, NV2t007182002.1, NV2t007182001.1, NV2t007182003.1	3MG_HUMAN
OG0001639	NV2t016238003.1, NV2t016238001.1, NV2t016238004.1, NV2t016238005.1, NV2t016238002.1, NV2t015839001.1	UN93A_HUMAN
OG0001686	NV2t021719001.1	SOX2_HUMAN, SOX1_HUMAN, SOX3_HUMAN
OG0001702	NV2t020614003.1, NV2t020614001.1, NV2t020614004.1	KPCL_HUMAN, KPCE_HUMAN
OG0001718	NV2t020129001.1	HIG1B_HUMAN, HIG1A_HUMAN, HIG1C_HUMAN
OG0001753	NV2t000246001.1, NV2t000246003.1, NV2t000246002.1, NV2t000246005.1, NV2t000246004.1	ZNT1_HUMAN
OG0001501	NV2t000290001.1, NV2t000290003.1, NV2t000290004.1, NV2t000290005.1, NV2t000290006.1, NV2t000290002.1	LRC41_HUMAN
OG0001517	NV2t023694004.1, NV2t023694001.1, NV2t023694003.1, NV2t023694002.1, NV2t023694005.1, NV2t023083001.1	AMD_HUMAN
OG0001550	NV2t023622001.1, NV2t023622002.1	LIMS1_HUMAN, LIMS3_HUMAN, LIMS4_HUMAN, LIMS2_HUMAN
OG0001565	NV2t025305001.1, NV2t025308001.1, NV2t020128001.1	TOR1A_HUMAN, TOR1B_HUMAN
OG0001581	NV2t020398001.1, NV2t020401001.1, NV2t020401002.1, NV2t020399001.1, NV2t020399003.1, NV2t020399002.1	RPAP1_HUMAN
OG0001598	NV2t019036001.1	CNDP1_HUMAN, CNDP2_HUMAN
OG0001628	NV2t010091001.1, NV2t010091003.1, NV2t010091004.1, NV2t010091002.1	KCD20_HUMAN, BTBDA_HUMAN
OG0001695	NV2t000962001.1, NV2t000962002.1	RBM6_HUMAN, RBM5_HUMAN, RBM10_HUMAN
OG0001710	NV2t011163001.1, NV2t002873001.1	P5CR1_HUMAN, P5CR2_HUMAN
OG0001751	NV2t022870001.1, NV2t022870005.1, NV2t022870003.1, NV2t022870002.1, NV2t022870004.1	CERT_HUMAN
OG0001560	NV2t022071004.1, NV2t022071006.1, NV2t022071005.1, NV2t022071002.1, NV2t022071001.1, NV2t022071003.1	MBD4_HUMAN
OG0001575	NV2t024946001.1, NV2t025089001.1	CIP4_HUMAN, FBP1L_HUMAN, FNBP1_HUMAN
OG0001589	NV2t013697005.1, NV2t013697001.1, NV2t013697002.1, NV2t013697004.1, NV2t013697003.1	WDR4_HUMAN
OG0001603	NV2t012258001.1, NV2t021530001.1, NV2t021530002.1, NV2t016694001.1	TRAF4_HUMAN
OG0001618	NV2t001709001.1	RHOB_HUMAN, RHOC_HUMAN, RHOA_HUMAN
OG0001633	NV2t014222001.1, NV2t014222002.1	IGDC4_HUMAN, PRTG_HUMAN, IGDC3_HUMAN
OG0001638	NV2t021353001.1, NV2t021353003.1	ROBO3_HUMAN, ROBO1_HUMAN, ROBO2_HUMAN
OG0001675	NV2t002023002.1, NV2t002023004.1, NV2t002023001.1, NV2t002023003.1, NV2t002023005.1	MK07_HUMAN
OG0001690	NV2t000977001.1	RN227_HUMAN, RN224_HUMAN
OG0001706	NV2t011302001.1, NV2t011302002.1	KCNH3_HUMAN, KCNH4_HUMAN, KCNH8_HUMAN
OG0001721	NV2t020340001.1	2A5E_HUMAN, 2A5B_HUMAN, 2A5A_HUMAN
OG0001754	NV2t012106001.1, NV2t012106002.1, NV2t012106003.1	AVR2B_HUMAN, AVR2A_HUMAN
OG0001551	NV2t002887001.1, NV2t002887002.1	TEF_HUMAN, DBP_HUMAN, HLF_HUMAN
OG0001580	NV2t020713002.1, NV2t020713004.1, NV2t020713005.1, NV2t020713006.1	PSN2_HUMAN, PSN1_HUMAN
OG0001596	NV2t020067001.1, NV2t021144002.1, NV2t020066001.1, NV2t021144001.1, NV2t020066002.1, NV2t021144003.1	PNPT1_HUMAN
OG0001607	NV2t008669001.1	TXLNB_HUMAN, TXLNA_HUMAN, TXNG2_HUMAN, TXLNG_HUMAN
OG0001623	NV2t007394002.1, NV2t007394001.1, NV2t007394004.1, NV2t007394003.1, NV2t007393001.1	NOGG_HUMAN
OG0001640	NV2t015457001.1, NV2t015454001.1, NV2t015458001.1, NV2t015456001.1	RIMB2_HUMAN, RIMB1_HUMAN
OG0001655	NV2t011466001.1	PCBP4_HUMAN, PCBP3_HUMAN, PCBP1_HUMAN, PCBP2_HUMAN
OG0001689	NV2t015522001.1, NV2t010913001.1	SP1_HUMAN, SP3_HUMAN
OG0001705	NV2t003002001.1, NV2t000637001.1	KCRS_HUMAN, KCRU_HUMAN
OG0001722	NV2t003890001.1, NV2t012890001.1	KLF7_HUMAN, KLF6_HUMAN
OG0001774	NV2t016092004.1, NV2t016092001.1, NV2t016092003.1, NV2t016092002.1, NV2t016092005.1	TBL2_HUMAN
OG0001578	NV2t010635001.1, NV2t025430002.1, NV2t025430003.1, NV2t025430001.1, NV2t025430004.1, NV2t025430005.1	CIAO1_HUMAN
OG0001594	NV2t020158001.1, NV2t020158002.1	CNIH1_HUMAN, CNIH2_HUMAN, CNIH3_HUMAN
OG0001608	NV2t008571003.1, NV2t008571001.1, NV2t008571002.1, NV2t008571005.1, NV2t008571006.1, NV2t008571004.1	MGST3_HUMAN
OG0001624	NV2t007564001.1	TTYH3_HUMAN, TTYH1_HUMAN, TTYH2_HUMAN
OG0001641	NV2t016138001.1, NV2t016138003.1, NV2t016138002.1, NV2t016138006.1	TAOK3_HUMAN, TAOK1_HUMAN
OG0001678	NV2t014405004.1, NV2t014405001.1, NV2t014405003.1, NV2t014405002.1	AMPE_HUMAN
OG0001693	NV2t007698001.1	RAC1_HUMAN, RAC2_HUMAN, RAC3_HUMAN
OG0001709	NV2t012705001.1, NV2t012705002.1, NV2t012705003.1	NBL1_HUMAN
OG0001725	NV2t002927001.1	INP4B_HUMAN, INP4A_HUMAN, GHDC_HUMAN
OG0001760	NV2t016502002.1, NV2t016502001.1, NV2t016502003.1, NV2t016502004.1, NV2t016502005.1	NAA25_HUMAN
OG0001778	NV2t018323001.1, NV2t018323002.1	TMM53_HUMAN
OG0001570	NV2t012263001.1, NV2t021898001.1	JAM3_HUMAN, JAM1_HUMAN, JAM2_HUMAN
OG0001585	NV2t024618002.1, NV2t024618001.1, NV2t024618004.1, NV2t024618003.1	NINL_HUMAN, NIN_HUMAN
OG0001599	NV2t018279001.1, NV2t018279003.1, NV2t018279004.1, NV2t018279002.1	CPSF7_HUMAN, CPSF6_HUMAN
OG0001614	NV2t000645001.1, NV2t000645002.1	FOXP1_HUMAN, FOXP4_HUMAN, FOXP2_HUMAN
OG0001681	NV2t020324001.1, NV2t020324002.1	GBG10_HUMAN, GBG5B_HUMAN, GBG5_HUMAN
OG0001697	NV2t010924001.1, NV2t010924002.1, NV2t010924003.1, NV2t010924006.1, NV2t010924004.1, NV2t010924005.1	ACD11_HUMAN
OG0001712	NV2t022808002.1, NV2t022808001.1, NV2t022807001.1	KMT2B_HUMAN, KMT2A_HUMAN
OG0001729	NV2t014345001.1	FA13C_HUMAN, FA13B_HUMAN, FA13A_HUMAN
OG0001761	NV2t003769001.1, NV2t018868001.1	LMO3_HUMAN, RBTN1_HUMAN
OG0001766	NV2t025942001.1, NV2t025942002.1, NV2t025941001.1, NV2t002119001.1	DCP1B_HUMAN
OG0001783	NV2t004487001.1	GA45G_HUMAN, GA45B_HUMAN, GA45A_HUMAN
OG0001553	NV2t010515001.1	KASH5_HUMAN, IRAG1_HUMAN, IRAG2_HUMAN
OG0001559	NV2t021193001.1, NV2t021193002.1, NV2t021193003.1, NV2t021193004.1, NV2t021193005.1	COG8_HUMAN
OG0001591	NV2t015289001.1, NV2t015289002.1	CRLF1_HUMAN, PRLR_HUMAN, IL6RB_HUMAN
OG0001610	NV2t008650003.1, NV2t008650004.1, NV2t008650001.1, NV2t008650002.1, NV2t008650005.1	DCAM_HUMAN
OG0001627	NV2t006473001.1, NV2t018943001.1, NV2t018943002.1, NV2t018943003.1	SNX10_HUMAN, SNX11_HUMAN
OG0001677	NV2t003378001.1	PITX2_HUMAN, PITX1_HUMAN, PITX3_HUMAN
OG0001691	NV2t011259001.1, NV2t021415001.1	PGH1_HUMAN, PGH2_HUMAN
OG0001707	NV2t006489001.1	GDF7_HUMAN, GDF5_HUMAN, GDF6_HUMAN
