Orthogroup	Nvec	Acer
OG0000208	NV2t025515001.1	KAK2571464.1, KAK2547589.1, KAK2547582.1, KAK2564255.1, KAK2571463.1, KAK2564254.1
OG0000208	NV2t022833001.1, NV2t002986001.1, NV2t025767001.1, NV2t007848001.1, NV2t006525001.1, NV2t024320001.1, NV2t025035001.1, NV2t003017001.1, NV2t009367004.1, NV2t025582001.1, NV2t014711001.1	KAK2554192.1, KAK2552100.1, KAK2549706.1, KAK2552097.1, KAK2552138.1, KAK2552099.1, KAK2554106.1, KAK2549238.1
OG0000218	NV2t014358001.1, NV2t014358002.1	KAK2568486.1, KAK2560249.1
OG0000218	NV2t009731001.1	KAK2568478.1, KAK2566407.1, KAK2548047.1, KAK2565217.1, KAK2565219.1
OG0000230	NV2t010481001.1, NV2t024034001.1, NV2t008707001.1, NV2t008707002.1, NV2t008710001.1, NV2t016397001.1, NV2t009645001.1, NV2t009641001.1, NV2t009718001.1, NV2t009638001.1, NV2t009638002.1, NV2t009638003.1, NV2t009624001.1, NV2t009623001.1, NV2t009626001.1, NV2t009627001.1, NV2t009634001.1, NV2t009637001.1, NV2t014196001.1	KAK2562742.1
OG0000112	NV2t008285001.1	KAK2558141.1
OG0000112	NV2t022152001.1, NV2t010639002.1, NV2t010639001.1, NV2t010639004.1, NV2t010639003.1, NV2t007467001.1, NV2t007470001.1	KAK2554266.1
OG0000112	NV2t008632001.1	KAK2550257.1, KAK2558140.1
OG0000112	NV2t012411001.1, NV2t012411003.1, NV2t012411002.1	KAK2561233.1
OG0000112	NV2t013622002.1	KAK2570887.1, KAK2570892.1
OG0000112	NV2t008980001.1, NV2t008406003.1, NV2t008406001.1, NV2t008406002.1	KAK2558146.1, KAK2570596.1, KAK2570735.1
OG0000112	NV2t018428001.1	KAK2569208.1, KAK2569103.1
OG0000123	NV2t012753001.1, NV2t012755001.1	KAK2569602.1, KAK2569749.1, KAK2569600.1, KAK2569743.1
OG0000123	NV2t002890001.1, NV2t014492001.1, NV2t014486001.1, NV2t014484001.1, NV2t014975001.1, NV2t014975002.1, NV2t014974002.1, NV2t014974001.1	KAK2569866.1, KAK2569741.1, KAK2569897.1, KAK2546712.1, KAK2555070.1, KAK2555009.1, KAK2555072.1, KAK2555071.1, KAK2555077.1, KAK2554957.1, KAK2555006.1, KAK2546713.1, KAK2554960.1, KAK2554959.1, KAK2555074.1, KAK2569703.1, KAK2569714.1, KAK2555075.1, KAK2555076.1, KAK2555073.1
OG0000127	NV2t021325001.1	KAK2551934.1, KAK2557284.1, KAK2563418.1, KAK2549258.1, KAK2557283.1, KAK2552801.1, KAK2564215.1, KAK2547562.1, KAK2553518.1, KAK2554934.1, KAK2553123.1, KAK2554349.1, KAK2570667.1, KAK2555261.1, KAK2564047.1, KAK2564196.1, KAK2571499.1, KAK2571066.1, KAK2547380.1, KAK2550242.1, KAK2560662.1, KAK2556348.1, KAK2564294.1, KAK2550402.1, KAK2564197.1, KAK2550165.1, KAK2548654.1, KAK2555896.1, KAK2567396.1, KAK2548655.1, KAK2559567.1, KAK2554928.1, KAK2569984.1
OG0000180	NV2t024359001.1, NV2t024359002.1	KAK2551633.1, KAK2557395.1
OG0000197	NV2t007176001.1, NV2t007170001.1, NV2t025484001.1, NV2t002381001.1, NV2t002381002.1, NV2t021575001.1, NV2t024278001.1, NV2t008461001.1, NV2t008462001.1, NV2t002132001.1, NV2t019828001.1, NV2t019828002.1, NV2t023857001.1, NV2t000779001.1, NV2t022682001.1, NV2t023286001.1, NV2t023282001.1, NV2t023288001.1, NV2t023285001.1, NV2t025602001.1, NV2t025599001.1, NV2t025598001.1, NV2t025596003.1, NV2t025595001.1, NV2t025596001.1, NV2t025596002.1	KAK2551874.1
OG0000210	NV2t012878019.1, NV2t012878026.1, NV2t012878029.1, NV2t012878024.1, NV2t012878028.1, NV2t012878022.1, NV2t012878023.1, NV2t012878020.1, NV2t012878025.1, NV2t012878021.1, NV2t012878027.1, NV2t012878003.1, NV2t012878007.1, NV2t012878001.1, NV2t012878002.1, NV2t012878008.1, NV2t012878006.1, NV2t012878009.1, NV2t012878004.1, NV2t012878005.1, NV2t012878036.1, NV2t012878037.1, NV2t012878035.1, NV2t012878034.1	KAK2553427.1, KAK2553440.1
OG0000221	NV2t025250003.1	KAK2555750.1, KAK2553550.1, KAK2546649.1, KAK2565752.1, KAK2550818.1, KAK2570183.1
OG0000221	NV2t002175001.1	KAK2546933.1, KAK2550657.1, KAK2557961.1, KAK2558040.1, KAK2558045.1, KAK2549127.1, KAK2559893.1, KAK2552301.1, KAK2546905.1, KAK2557347.1, KAK2548402.1, KAK2547485.1, KAK2566813.1, KAK2548894.1
OG0000235	NV2t006727001.1	KAK2566140.1, KAK2558786.1, KAK2558674.1, KAK2558787.1, KAK2559270.1, KAK2546883.1, KAK2559330.1, KAK2558532.1, KAK2548871.1, KAK2548755.1, KAK2566446.1, KAK2554077.1, KAK2549913.1, KAK2559415.1, KAK2554078.1, KAK2555735.1, KAK2566371.1, KAK2550327.1, KAK2566379.1, KAK2548756.1, KAK2546885.1, KAK2558529.1, KAK2548876.1
OG0000248	NV2t025583001.1	KAK2546701.1, KAK2553275.1
OG0000248	NV2t000201001.1	KAK2566064.1, KAK2566056.1, KAK2574202.1, KAK2547059.1, KAK2555964.1, KAK2566058.1, KAK2565836.1, KAK2547057.1, KAK2565835.1, KAK2566063.1, KAK2549403.1, KAK2548653.1, KAK2555797.1, KAK2548192.1, KAK2547131.1
OG0000257	NV2t004481001.1, NV2t004481002.1, NV2t004482001.1, NV2t004482002.1, NV2t004482003.1	KAK2559634.1, KAK2559635.1, KAK2559782.1, KAK2559629.1, KAK2559628.1, KAK2559630.1, KAK2571367.1, KAK2559631.1
OG0000257	NV2t018720001.1, NV2t016230001.1, NV2t003212001.1	KAK2571369.1, KAK2572401.1
OG0000154	NV2t000061001.1	KAK2560992.1, KAK2551861.1, KAK2559515.1, KAK2546937.1, KAK2565832.1, KAK2547223.1, KAK2564510.1, KAK2566885.1, KAK2547222.1, KAK2558800.1, KAK2558784.1, KAK2550148.1, KAK2556679.1, KAK2547354.1, KAK2556678.1, KAK2548660.1, KAK2563987.1, KAK2552297.1, KAK2555186.1, KAK2572953.1, KAK2555711.1
OG0000154	NV2t001081001.1, NV2t001081002.1	KAK2555080.1
OG0000176	NV2t003177002.1	KAK2570465.1, KAK2549319.1, KAK2548518.1
OG0000176	NV2t008227001.1	KAK2550675.1
OG0000190	NV2t019609020.1, NV2t019609004.1, NV2t019609010.1, NV2t019609009.1, NV2t019609013.1, NV2t019609002.1, NV2t019609003.1, NV2t019609005.1, NV2t019609001.1, NV2t019609006.1, NV2t019609016.1, NV2t019609014.1, NV2t019609015.1, NV2t019609018.1, NV2t019609019.1, NV2t019609012.1, NV2t019609017.1, NV2t019609008.1, NV2t019609011.1	KAK2567313.1
OG0000229	NV2t025235001.1	KAK2551858.1
OG0000229	NV2t021884001.1	KAK2567463.1, KAK2573878.1
OG0000229	NV2t022378001.1, NV2t022382001.1	KAK2573657.1
OG0000242	NV2t004704001.1	KAK2559760.1, KAK2559761.1
OG0000242	NV2t009601001.1, NV2t009601003.1, NV2t009601002.1, NV2t011326001.1, NV2t011326004.1, NV2t011326003.1, NV2t011326002.1	KAK2570044.1, KAK2570045.1
OG0000199	NV2t000855001.1, NV2t014072001.1, NV2t014079001.1, NV2t014073001.1, NV2t014080001.1, NV2t014087001.1, NV2t014090001.1, NV2t014083001.1, NV2t014076001.1, NV2t014084001.1, NV2t014085001.1, NV2t014088001.1, NV2t014074001.1, NV2t014081001.1, NV2t014086001.1, NV2t000856001.1, NV2t021584001.1, NV2t000858001.1, NV2t000861001.1, NV2t000859001.1, NV2t000857001.1, NV2t000860001.1, NV2t014075001.1, NV2t014082001.1	KAK2555566.1, KAK2555563.1, KAK2555567.1
OG0000228	NV2t000599001.1, NV2t000599002.1, NV2t000595001.1, NV2t000578001.1, NV2t000579001.1, NV2t000593001.1, NV2t000593002.1, NV2t000581002.1, NV2t000581001.1, NV2t000581004.1, NV2t000580001.1, NV2t000597001.1, NV2t000596001.1, NV2t000585001.1, NV2t000576001.1	KAK2565266.1
OG0000241	NV2t000850001.1	KAK2559024.1, KAK2558971.1, KAK2559026.1
OG0000241	NV2t014432001.1	KAK2574252.1
OG0000252	NV2t022163001.1	KAK2569492.1
OG0000252	NV2t001228001.1	KAK2572043.1, KAK2571226.1, KAK2556106.1, KAK2555989.1, KAK2549465.1, KAK2571273.1, KAK2547627.1, KAK2571346.1, KAK2556016.1, KAK2571146.1, KAK2565633.1, KAK2571053.1, KAK2571229.1, KAK2571272.1, KAK2556118.1, KAK2571298.1, KAK2571513.1, KAK2556020.1, KAK2547628.1, KAK2551650.1
OG0000174	NV2t013603001.1	KAK2557290.1, KAK2572582.1, KAK2562022.1
OG0000174	NV2t001890001.1	KAK2570416.1, KAK2570417.1, KAK2570282.1, KAK2570468.1, KAK2570088.1, KAK2570476.1, KAK2566461.1, KAK2547428.1, KAK2548105.1
OG0000174	NV2t005822001.1	KAK2551492.1, KAK2566703.1, KAK2551476.1
OG0000174	NV2t024461001.1, NV2t021585001.1, NV2t024741004.1, NV2t024741002.1, NV2t024741001.1, NV2t024741003.1	KAK2557288.1, KAK2559172.1, KAK2565689.1
OG0000188	NV2t005899016.1, NV2t005899015.1, NV2t005899017.1, NV2t005899003.1, NV2t005899022.1, NV2t005899014.1, NV2t005899018.1, NV2t005899009.1, NV2t005899012.1, NV2t005899013.1, NV2t005899010.1, NV2t005899011.1, NV2t005899023.1, NV2t005899019.1, NV2t005899020.1	KAK2559926.1, KAK2559924.1, KAK2559927.1, KAK2567999.1, KAK2568007.1, KAK2559928.1, KAK2559923.1
OG0000223	NV2t009183001.1	KAK2570659.1, KAK2570855.1
OG0000223	NV2t011028001.1	KAK2552322.1
OG0000223	NV2t023332001.1, NV2t023332002.1, NV2t023640001.1	KAK2574206.1
OG0000239	NV2t004820001.1, NV2t001535001.1	KAK2555725.1, KAK2548513.1, KAK2552810.1, KAK2551614.1, KAK2559495.1, KAK2549199.1, KAK2548880.1, KAK2548879.1, KAK2550651.1, KAK2557925.1, KAK2570982.1, KAK2568375.1, KAK2559167.1, KAK2552476.1, KAK2570456.1, KAK2548914.1, KAK2561794.1, KAK2567738.1, KAK2562446.1, KAK2552342.1, KAK2549409.1, KAK2558134.1
OG0000261	NV2t005984001.1, NV2t005985001.1, NV2t021375001.1, NV2t010232001.1, NV2t016576001.1	KAK2552084.1
OG0000011	NV2t017489001.1	KAK2547581.1, KAK2559097.1
OG0000011	NV2t012528001.1	KAK2555845.1, KAK2549302.1, KAK2552263.1, KAK2547345.1, KAK2558856.1, KAK2558999.1, KAK2564750.1, KAK2557508.1, KAK2546989.1, KAK2547878.1, KAK2565005.1, KAK2551531.1, KAK2554844.1, KAK2558985.1, KAK2564668.1, KAK2561824.1, KAK2556944.1, KAK2549411.1, KAK2555225.1, KAK2566550.1, KAK2554909.1, KAK2549355.1, KAK2561882.1, KAK2555794.1, KAK2561883.1, KAK2565488.1, KAK2564025.1, KAK2549349.1, KAK2565490.1, KAK2558722.1, KAK2554891.1, KAK2554894.1, KAK2558725.1, KAK2561774.1, KAK2561773.1, KAK2548028.1, KAK2561898.1, KAK2558724.1, KAK2546612.1, KAK2550086.1, KAK2549356.1, KAK2547350.1, KAK2549077.1, KAK2551640.1, KAK2549026.1, KAK2548735.1, KAK2551645.1, KAK2549357.1, KAK2558667.1, KAK2549078.1, KAK2555973.1, KAK2573716.1, KAK2573717.1, KAK2558995.1, KAK2561857.1, KAK2554938.1, KAK2561899.1, KAK2550396.1, KAK2554910.1, KAK2565606.1, KAK2557870.1, KAK2565602.1, KAK2559004.1, KAK2559342.1, KAK2565607.1, KAK2568910.1, KAK2564541.1, KAK2549461.1, KAK2566244.1, KAK2549269.1, KAK2566245.1, KAK2556199.1, KAK2546727.1, KAK2549300.1, KAK2558668.1, KAK2546751.1, KAK2552500.1, KAK2571160.1, KAK2571361.1, KAK2556167.1, KAK2547711.1, KAK2570856.1, KAK2562669.1, KAK2570606.1, KAK2564997.1, KAK2562673.1, KAK2562666.1, KAK2552486.1, KAK2559001.1, KAK2565002.1, KAK2558984.1, KAK2565001.1, KAK2565004.1
OG0000044	NV2t002369001.1, NV2t017192001.1	KAK2549105.1
OG0000044	NV2t019869001.1	KAK2572756.1, KAK2573134.1, KAK2550864.1, KAK2548109.1, KAK2548108.1, KAK2573135.1, KAK2562630.1, KAK2557822.1, KAK2573705.1, KAK2572593.1, KAK2557700.1, KAK2550408.1, KAK2555894.1, KAK2549483.1, KAK2565230.1, KAK2552055.1, KAK2548920.1, KAK2562986.1, KAK2572692.1, KAK2546679.1, KAK2567576.1, KAK2573136.1, KAK2549692.1, KAK2555832.1, KAK2555673.1, KAK2548723.1, KAK2556973.1, KAK2555162.1, KAK2567926.1, KAK2550848.1, KAK2562774.1, KAK2552683.1, KAK2557433.1, KAK2547635.1, KAK2562607.1, KAK2551214.1, KAK2566231.1, KAK2560740.1, KAK2574243.1, KAK2549832.1, KAK2548741.1, KAK2561183.1, KAK2562484.1, KAK2554193.1, KAK2564664.1, KAK2562486.1, KAK2552643.1, KAK2557920.1, KAK2559325.1, KAK2563706.1
OG0000132	NV2t008317001.1	KAK2552732.1
OG0000132	NV2t019483001.1	KAK2552737.1, KAK2565770.1
OG0000132	NV2t013873001.1, NV2t024925001.1	KAK2552733.1
OG0000132	NV2t013528001.1, NV2t013528002.1, NV2t013528003.1	KAK2552681.1, KAK2552735.1
OG0000164	NV2t017411001.1, NV2t007979001.1	KAK2566352.1, KAK2559384.1, KAK2552756.1, KAK2549121.1, KAK2553100.1, KAK2549874.1, KAK2552560.1, KAK2557794.1, KAK2557415.1, KAK2559392.1, KAK2566189.1, KAK2561859.1, KAK2549276.1, KAK2564236.1, KAK2560736.1, KAK2546997.1, KAK2552990.1, KAK2550261.1, KAK2568724.1, KAK2547135.1, KAK2555256.1, KAK2555891.1, KAK2555879.1, KAK2555887.1, KAK2557452.1, KAK2558584.1, KAK2549405.1, KAK2547051.1
OG0000195	NV2t001511001.1, NV2t001959001.1	KAK2553007.1, KAK2554591.1, KAK2564730.1, KAK2551602.1, KAK2556988.1, KAK2558499.1, KAK2555857.1, KAK2555135.1, KAK2559248.1, KAK2554088.1, KAK2565705.1, KAK2552762.1, KAK2555888.1, KAK2568750.1, KAK2557353.1, KAK2547185.1, KAK2561201.1, KAK2561420.1, KAK2561264.1, KAK2561260.1, KAK2561383.1, KAK2561313.1, KAK2561279.1, KAK2561382.1
OG0000240	NV2t002705001.1, NV2t002705002.1	KAK2564115.1, KAK2564114.1, KAK2564116.1
OG0000240	NV2t015106001.1	KAK2550574.1
OG0000240	NV2t023949001.1, NV2t023947001.1, NV2t023947002.1	KAK2567550.1, KAK2548566.1, KAK2548536.1, KAK2548564.1
OG0000240	NV2t021338001.1, NV2t021338002.1, NV2t022595001.1	KAK2563580.1
OG0000255	NV2t022942001.1	KAK2555383.1
OG0000264	NV2t019044001.1	KAK2572520.1
OG0000264	NV2t004607001.1, NV2t010692001.1, NV2t007233001.1, NV2t007233002.1, NV2t007233003.1, NV2t007233004.1, NV2t006428001.1, NV2t016073001.1, NV2t016073002.1	KAK2546846.1, KAK2549235.1, KAK2558706.1, KAK2552186.1, KAK2547799.1, KAK2568035.1, KAK2552804.1, KAK2548651.1, KAK2555873.1, KAK2548559.1, KAK2565861.1
OG0000121	NV2t004984001.1, NV2t020942001.1, NV2t004783003.1, NV2t004783002.1, NV2t004783001.1	KAK2546961.1, KAK2547415.1, KAK2557804.1, KAK2557802.1, KAK2557817.1, KAK2557850.1, KAK2557852.1, KAK2557811.1, KAK2557812.1, KAK2553813.1, KAK2553442.1, KAK2557069.1, KAK2557070.1, KAK2556968.1, KAK2547421.1, KAK2552818.1
OG0000121	NV2t006209001.1, NV2t006127001.1, NV2t006127002.1, NV2t006191001.1	KAK2546956.1, KAK2546857.1, KAK2547411.1, KAK2556963.1, KAK2556967.1, KAK2553471.1, KAK2556970.1, KAK2552785.1, KAK2547425.1
OG0000148	NV2t005796001.1, NV2t005796002.1, NV2t005796003.1, NV2t005794001.1, NV2t005792001.1, NV2t005792003.1, NV2t005792002.1, NV2t005789001.1, NV2t005791001.1, NV2t005777001.1, NV2t005777002.1, NV2t005553001.1	KAK2560213.1, KAK2560023.1, KAK2560022.1, KAK2560021.1, KAK2560024.1, KAK2548945.1, KAK2548946.1, KAK2548969.1, KAK2548962.1, KAK2548970.1, KAK2548952.1, KAK2548941.1, KAK2548965.1, KAK2548942.1, KAK2548943.1, KAK2548968.1, KAK2548964.1, KAK2548966.1, KAK2548963.1, KAK2572928.1
OG0000156	NV2t021804001.1, NV2t021826001.1	KAK2573826.1, KAK2573279.1
OG0000156	NV2t020022001.1, NV2t022402001.1	KAK2561256.1, KAK2573284.1
OG0000156	NV2t003070001.1, NV2t022945001.1, NV2t003032001.1, NV2t005983001.1, NV2t002815001.1, NV2t006515001.1, NV2t005631001.1, NV2t005632001.1, NV2t009165001.1	KAK2561815.1, KAK2549096.1, KAK2549099.1, KAK2561812.1, KAK2557459.1, KAK2549320.1, KAK2557881.1, KAK2568789.1, KAK2568870.1, KAK2568791.1, KAK2546689.1, KAK2550773.1
OG0000175	NV2t015916001.1	KAK2563775.1
OG0000175	NV2t015915001.1, NV2t015921001.1	KAK2549005.1, KAK2549368.1, KAK2554319.1, KAK2555851.1, KAK2558743.1, KAK2558634.1, KAK2562550.1, KAK2549097.1, KAK2567997.1, KAK2548764.1, KAK2549039.1, KAK2563554.1, KAK2549177.1, KAK2550363.1, KAK2550364.1, KAK2556287.1, KAK2556182.1, KAK2556245.1, KAK2559040.1, KAK2547882.1, KAK2548748.1, KAK2550150.1, KAK2558903.1, KAK2555833.1, KAK2548203.1
OG0000183	NV2t024998001.1	KAK2549566.1, KAK2564238.1, KAK2548585.1, KAK2564030.1, KAK2548408.1, KAK2548409.1, KAK2548428.1, KAK2546831.1, KAK2561780.1, KAK2549088.1, KAK2558867.1, KAK2562483.1, KAK2549329.1, KAK2561017.1, KAK2567471.1, KAK2555349.1, KAK2558912.1, KAK2564029.1, KAK2548144.1, KAK2550709.1, KAK2555799.1, KAK2555874.1, KAK2547266.1, KAK2564473.1, KAK2548762.1, KAK2550708.1, KAK2555800.1
OG0000194	NV2t016416001.1, NV2t016404001.1, NV2t016404002.1, NV2t016417001.1, NV2t016410001.1, NV2t016406001.1, NV2t016407001.1, NV2t016407002.1, NV2t016407003.1, NV2t016407004.1, NV2t016407005.1	KAK2557792.1, KAK2562565.1, KAK2562570.1, KAK2562564.1, KAK2562439.1, KAK2562492.1
OG0000194	NV2t019429001.1	KAK2552362.1, KAK2568559.1, KAK2546967.1, KAK2546971.1, KAK2546968.1, KAK2568874.1, KAK2568823.1
OG0000258	NV2t018338001.1, NV2t011388001.1, NV2t020288001.1, NV2t022564001.1, NV2t021900001.1, NV2t011573001.1, NV2t014153001.1, NV2t014153002.1, NV2t017922001.1, NV2t024583001.1, NV2t024583002.1, NV2t024587001.1, NV2t006825001.1, NV2t003875001.1, NV2t023586001.1, NV2t019703001.1, NV2t002730001.1, NV2t024868001.1, NV2t004752001.1, NV2t024985001.1, NV2t007735001.1	KAK2562006.1, KAK2570107.1
OG0000138	NV2t025507001.1	KAK2567130.1
OG0000145	NV2t006663001.1, NV2t001718001.1	KAK2562755.1, KAK2556171.1, KAK2554815.1, KAK2547400.1, KAK2564251.1, KAK2571462.1, KAK2563522.1, KAK2568009.1, KAK2554835.1, KAK2555925.1, KAK2573141.1, KAK2554837.1, KAK2562750.1, KAK2554814.1, KAK2564650.1, KAK2551530.1, KAK2551996.1, KAK2563730.1, KAK2566292.1, KAK2573799.1, KAK2554279.1, KAK2557057.1, KAK2558951.1, KAK2550105.1, KAK2559772.1, KAK2555061.1, KAK2561193.1, KAK2546616.1, KAK2552017.1, KAK2557313.1
OG0000171	NV2t020787001.1	KAK2567399.1, KAK2567401.1, KAK2567635.1, KAK2567288.1, KAK2567634.1, KAK2567346.1, KAK2567703.1, KAK2567638.1, KAK2567637.1, KAK2567648.1, KAK2567287.1, KAK2567347.1, KAK2555008.1, KAK2567653.1, KAK2567581.1, KAK2567629.1, KAK2567700.1, KAK2567701.1, KAK2567704.1, KAK2567290.1, KAK2567705.1, KAK2567706.1, KAK2552406.1, KAK2547162.1, KAK2559062.1, KAK2569475.1, KAK2558934.1, KAK2553166.1
OG0000211	NV2t001994001.1	KAK2553937.1
OG0000211	NV2t000907004.1, NV2t000907005.1, NV2t000903003.1, NV2t000903001.1, NV2t000907003.1, NV2t000904001.1, NV2t000904002.1, NV2t000908001.1, NV2t000903002.1, NV2t000907002.1, NV2t000907001.1	KAK2553941.1, KAK2553968.1
OG0000211	NV2t000628001.1	KAK2553885.1, KAK2553883.1, KAK2553886.1, KAK2553940.1, KAK2553942.1, KAK2553884.1, KAK2553939.1, KAK2553970.1
OG0000225	NV2t007615001.1	KAK2569054.1
OG0000238	NV2t010191001.1	KAK2567214.1, KAK2567215.1, KAK2564366.1, KAK2555861.1, KAK2555721.1, KAK2548590.1, KAK2552250.1, KAK2552189.1, KAK2561951.1, KAK2564051.1, KAK2564179.1, KAK2548591.1, KAK2552249.1, KAK2555722.1, KAK2547416.1, KAK2568907.1, KAK2564496.1, KAK2549252.1, KAK2555612.1, KAK2552411.1, KAK2561948.1, KAK2564180.1, KAK2547414.1
OG0000265	NV2t021122001.1	KAK2551055.1, KAK2549280.1, KAK2562418.1, KAK2553378.1, KAK2562414.1
OG0000265	NV2t002805001.1	KAK2564149.1, KAK2549277.1, KAK2571452.1, KAK2551656.1, KAK2553445.1, KAK2554201.1, KAK2547098.1, KAK2546881.1, KAK2562768.1, KAK2555829.1, KAK2555826.1, KAK2552111.1, KAK2558925.1, KAK2555226.1, KAK2551978.1
OG0000277	NV2t008622001.1, NV2t021517001.1, NV2t025533001.1, NV2t007405001.1, NV2t007405003.1, NV2t007405004.1, NV2t007405006.1, NV2t007405002.1, NV2t007405005.1, NV2t007408004.1, NV2t007408001.1, NV2t007408003.1, NV2t007408005.1, NV2t007408002.1, NV2t007408006.1	KAK2549810.1, KAK2558041.1, KAK2558113.1, KAK2551275.1, KAK2551277.1
OG0000300	NV2t006535001.1, NV2t006537001.1	KAK2567831.1, KAK2568498.1
OG0000300	NV2t001237001.1, NV2t005973001.1, NV2t016447001.1, NV2t000416001.1	KAK2553441.1, KAK2567830.1
OG0000243	NV2t003783001.1, NV2t003783002.1, NV2t003783003.1, NV2t003783015.1, NV2t003783014.1, NV2t003783016.1, NV2t003783004.1, NV2t003783005.1, NV2t003783007.1, NV2t003783006.1, NV2t003783009.1, NV2t003783008.1, NV2t003783012.1, NV2t003783011.1, NV2t003783013.1, NV2t003783010.1, NV2t011474001.1	KAK2570487.1
OG0000270	NV2t006529001.1	KAK2561667.1, KAK2561673.1, KAK2547774.1, KAK2562440.1, KAK2547655.1, KAK2562444.1, KAK2547652.1, KAK2549035.1, KAK2549017.1, KAK2549033.1, KAK2558733.1, KAK2571031.1, KAK2552171.1, KAK2552455.1, KAK2555758.1, KAK2561670.1, KAK2549037.1, KAK2547653.1, KAK2562443.1, KAK2562442.1, KAK2547773.1
OG0000292	NV2t018750002.1, NV2t018750003.1, NV2t018750005.1, NV2t018750006.1, NV2t018750004.1	KAK2546951.1, KAK2569290.1, KAK2569163.1, KAK2569291.1, KAK2569488.1, KAK2569489.1, KAK2569490.1, KAK2546791.1, KAK2546793.1, KAK2569284.1, KAK2569169.1, KAK2546947.1, KAK2569287.1, KAK2569288.1
OG0000305	NV2t015468010.1, NV2t015468001.1, NV2t015468002.1, NV2t015468003.1, NV2t015468004.1, NV2t015468005.1, NV2t015468006.1, NV2t015468007.1, NV2t015468008.1, NV2t015468009.1, NV2t015468012.1, NV2t015468011.1, NV2t015468013.1	KAK2569423.1, KAK2574299.1
OG0000272	NV2t020328001.1	KAK2569812.1
OG0000272	NV2t021449001.1	KAK2548156.1
OG0000294	NV2t013269001.1, NV2t002235001.1, NV2t025774001.1, NV2t013269002.1, NV2t022033002.1, NV2t002234001.1	KAK2561934.1, KAK2557570.1, KAK2549539.1, KAK2557898.1, KAK2557841.1, KAK2557905.1, KAK2557869.1, KAK2557840.1, KAK2557908.1, KAK2547148.1, KAK2571532.1, KAK2571451.1, KAK2547149.1, KAK2557874.1, KAK2571533.1
OG0000304	NV2t020616003.1, NV2t020616008.1, NV2t020616009.1, NV2t020616010.1, NV2t020616011.1, NV2t020616012.1, NV2t020616013.1, NV2t020616014.1, NV2t020616016.1, NV2t020616015.1, NV2t020616001.1, NV2t020616002.1, NV2t020616005.1, NV2t020616007.1, NV2t020616006.1, NV2t020616004.1	KAK2568685.1
OG0000312	NV2t002979001.1, NV2t002979002.1	KAK2571610.1, KAK2547180.1, KAK2561202.1, KAK2561314.1, KAK2564381.1, KAK2547378.1, KAK2557477.1, KAK2557079.1, KAK2559081.1, KAK2569708.1, KAK2566222.1, KAK2546960.1, KAK2557006.1, KAK2571219.1, KAK2572773.1, KAK2551291.1
OG0000325	NV2t006074001.1	KAK2560337.1
OG0000325	NV2t011747001.1, NV2t011747005.1, NV2t011747002.1, NV2t011747003.1, NV2t011747004.1	KAK2549553.1
OG0000330	NV2t010435001.1	KAK2573159.1
OG0000330	NV2t002141001.1	KAK2555583.1
OG0000330	NV2t023941001.1, NV2t023941003.1, NV2t023941002.1, NV2t023941004.1	KAK2552774.1
OG0000330	NV2t023893001.1, NV2t023893002.1, NV2t023893003.1	KAK2554546.1
OG0000268	NV2t021912001.1	KAK2555771.1, KAK2556424.1, KAK2551082.1, KAK2565528.1, KAK2547169.1, KAK2567821.1, KAK2555903.1, KAK2551593.1, KAK2557282.1, KAK2547168.1, KAK2547167.1, KAK2551573.1, KAK2547616.1, KAK2570449.1, KAK2560818.1, KAK2566305.1, KAK2564154.1, KAK2547439.1, KAK2566496.1, KAK2554044.1, KAK2559339.1
OG0000293	NV2t024651001.1, NV2t024651002.1, NV2t018706005.1, NV2t018706006.1, NV2t018706008.1, NV2t018706009.1, NV2t018708001.1, NV2t018708004.1, NV2t018708005.1, NV2t018708006.1, NV2t018708003.1, NV2t018706004.1, NV2t018706007.1, NV2t018706001.1, NV2t018706002.1, NV2t018706003.1	KAK2557277.1, KAK2557278.1, KAK2567754.1, KAK2547034.1, KAK2547035.1
OG0000303	NV2t021561003.1, NV2t021561001.1, NV2t021561002.1, NV2t021561004.1	KAK2566613.1
OG0000303	NV2t021299002.1, NV2t021299001.1, NV2t021299003.1	KAK2566614.1
OG0000313	NV2t023412001.1	KAK2563971.1, KAK2552024.1, KAK2552759.1, KAK2565732.1, KAK2554178.1, KAK2552965.1, KAK2548738.1, KAK2557808.1, KAK2558034.1, KAK2558067.1, KAK2563988.1, KAK2549592.1, KAK2548661.1, KAK2558069.1, KAK2550296.1, KAK2555929.1, KAK2547060.1, KAK2552410.1, KAK2567225.1
OG0000321	NV2t006580001.1, NV2t006580002.1, NV2t006580003.1, NV2t006580004.1, NV2t006580005.1, NV2t006580006.1, NV2t006580007.1, NV2t006580008.1, NV2t006580009.1	KAK2548266.1, KAK2560180.1
OG0000326	NV2t002812001.1	KAK2550072.1
OG0000331	NV2t001355004.1, NV2t001355005.1, NV2t001355010.1, NV2t001355011.1, NV2t001355013.1, NV2t001355007.1, NV2t001355006.1, NV2t001355001.1, NV2t001355008.1, NV2t001355009.1, NV2t001355012.1, NV2t001355002.1, NV2t001355003.1	KAK2554617.1
