Orthogroup	Nvec	Mmus
OG0001072	NV2t005980006.1, NV2t005980004.1, NV2t005980005.1, NV2t005980003.1, NV2t005980002.1, NV2t005980007.1, NV2t005980001.1	SDHA_MOUSE
OG0001073	NV2t009037001.1, NV2t005981001.1	CY24B_MOUSE, NOX1_MOUSE, NOX3_MOUSE
OG0001074	NV2t017917003.1, NV2t017917002.1, NV2t017917001.1	DUSP2_MOUSE, DUS4_MOUSE, DUS1_MOUSE
OG0001075	NV2t016148001.1, NV2t017039001.1, NV2t017041001.1, NV2t017041002.1	STX12_MOUSE, STX7_MOUSE
OG0001076	NV2t001054001.1, NV2t001054002.1, NV2t001054003.1	ENPP2_MOUSE, ENPP1_MOUSE, ENPP3_MOUSE
OG0001081	NV2t025289001.1	PBX4_MOUSE, PBX1_MOUSE, PBX2_MOUSE, PBX3_MOUSE
OG0001082	NV2t014136001.1	GNA15_MOUSE, GNA11_MOUSE, GNA14_MOUSE, GNAQ_MOUSE
OG0001083	NV2t015133001.1, NV2t022312001.1	RPGP2_MOUSE, RPGP1_MOUSE
OG0001084	NV2t011319003.1, NV2t011319001.1, NV2t011319002.1, NV2t012164001.1, NV2t012164002.1	ITB1_MOUSE
OG0001085	NV2t012597001.1, NV2t012597002.1, NV2t012598001.1	CNPY3_MOUSE, CNPY4_MOUSE
OG0001086	NV2t024153001.1, NV2t024153002.1, NV2t024153003.1	AB17B_MOUSE, AB17C_MOUSE, AB17A_MOUSE
OG0001087	NV2t006141001.1, NV2t006141002.1, NV2t006141003.1, NV2t006141004.1	DCDC2_MOUSE, DCD2C_MOUSE
OG0001088	NV2t014545001.1, NV2t014545002.1	DDX25_MOUSE, DD19A_MOUSE
OG0001089	NV2t021716001.1, NV2t021716002.1, NV2t023135002.1	IQGA2_MOUSE, IQGA1_MOUSE
OG0001090	NV2t002739001.1, NV2t002739002.1, NV2t002739003.1	MBOA2_MOUSE, MBOA1_MOUSE
OG0001091	NV2t023474001.1	HCN1_MOUSE, HCN2_MOUSE, HCN4_MOUSE, HCN3_MOUSE
OG0001092	NV2t018718001.1, NV2t018718002.1, NV2t018718003.1	FA53C_MOUSE, FA53A_MOUSE, FA53B_MOUSE
OG0001094	NV2t010080003.1, NV2t010080001.1, NV2t010080002.1	NAV1_MOUSE, NAV3_MOUSE, NAV2_MOUSE
OG0001095	NV2t009015003.1, NV2t009015002.1, NV2t009015006.1, NV2t009015005.1, NV2t009015004.1	MYO9B_MOUSE, MYO9A_MOUSE
OG0001096	NV2t011161001.1	NFE2_MOUSE, NF2L2_MOUSE, NF2L1_MOUSE, NF2L3_MOUSE
OG0001097	NV2t018152001.1	MAD4_MOUSE, MAD3_MOUSE, MXI1_MOUSE, MAD1_MOUSE
OG0001099	NV2t024315001.1, NV2t024315002.1, NV2t024319001.1	AGAL_MOUSE, NAGAB_MOUSE
OG0001100	NV2t017374002.1, NV2t017374005.1, NV2t017374004.1, NV2t017374007.1, NV2t017374001.1, NV2t017374003.1, NV2t017374006.1	UBX11_MOUSE
OG0001101	NV2t015893003.1, NV2t015893001.1, NV2t015893002.1	SPNS3_MOUSE, SPNS2_MOUSE, SPNS1_MOUSE
OG0001103	NV2t004299003.1, NV2t004299001.1, NV2t004299004.1, NV2t004299002.1	CSK22_MOUSE, CSK21_MOUSE
OG0001104	NV2t007981003.1, NV2t007981001.1, NV2t007981002.1	PEA15_MOUSE, FADD_MOUSE
OG0001105	NV2t004207001.1, NV2t000042001.1	BCDO1_MOUSE, RPE65_MOUSE, BCDO2_MOUSE
OG0001106	NV2t013209004.1, NV2t013209001.1, NV2t013209002.1, NV2t013209005.1, NV2t013209003.1	SH2D5_MOUSE, SLAP2_MOUSE
OG0001107	NV2t012086001.1	MTDC_MOUSE, MTD2L_MOUSE, C1TM_MOUSE, C1TC_MOUSE
OG0001108	NV2t018420001.1	GRK1_MOUSE, GRK6_MOUSE, GRK4_MOUSE, GRK5_MOUSE
OG0001109	NV2t010005001.1, NV2t010134001.1, NV2t010006001.1, NV2t010004001.1	DKK3_MOUSE
OG0001110	NV2t005532001.1, NV2t016952001.1	SERC2_MOUSE, SERC1_MOUSE, SERC3_MOUSE
OG0001111	NV2t000242003.1, NV2t000242001.1, NV2t000242002.1	SRPK2_MOUSE, SRPK1_MOUSE, SRPK3_MOUSE
OG0001112	NV2t001639006.1, NV2t001639003.1, NV2t001639001.1, NV2t001639005.1, NV2t001639004.1	ELAP1_MOUSE, ELAP2_MOUSE
OG0001113	NV2t019606002.1, NV2t019606003.1, NV2t019606001.1, NV2t001088001.1	RTN2_MOUSE, RTN1_MOUSE
OG0001114	NV2t020879001.1, NV2t020879002.1	ATLA1_MOUSE, ATLA3_MOUSE, ATLA2_MOUSE
OG0001115	NV2t015118002.1, NV2t015118001.1, NV2t015118003.1	DNJC5_MOUSE, DNJ5B_MOUSE
OG0001117	NV2t018097001.1, NV2t018093001.1	FGF18_MOUSE, FGF17_MOUSE, FGF8_MOUSE
OG0001118	NV2t006244003.1, NV2t006244001.1, NV2t006244002.1	TLDC2_MOUSE, OXR1_MOUSE, NCOA7_MOUSE
OG0001119	NV2t006616001.1, NV2t006616002.1, NV2t006616003.1, NV2t010675001.1	P4HA1_MOUSE, P4HA2_MOUSE
OG0001121	NV2t010973001.1	DLGP4_MOUSE, DLGP1_MOUSE, DLGP3_MOUSE, DLGP2_MOUSE
OG0001122	NV2t022039001.1	DLG3_MOUSE, DLG2_MOUSE, DLG4_MOUSE, DLG1_MOUSE
OG0001123	NV2t011634001.1, NV2t011634002.1, NV2t011634003.1	RETR1_MOUSE, RETR2_MOUSE, RETR3_MOUSE
OG0001124	NV2t005503001.1	NDST4_MOUSE, NDST3_MOUSE, NDST2_MOUSE, NDST1_MOUSE
OG0001126	NV2t016750001.1, NV2t016750002.1	SGK3_MOUSE, SGK2_MOUSE, SGK1_MOUSE
OG0001128	NV2t014898006.1, NV2t014898003.1, NV2t014898001.1, NV2t014898004.1, NV2t014898005.1	GFPT2_MOUSE, GFPT1_MOUSE
OG0001129	NV2t012897001.1, NV2t001654001.1	JUND_MOUSE, JUN_MOUSE, JUNB_MOUSE
OG0001130	NV2t017368001.1, NV2t017368002.1, NV2t017368004.1, NV2t017368005.1, NV2t017368003.1, NV2t017368006.1, NV2t017368007.1	RUVB2_MOUSE
OG0001131	NV2t003130001.1, NV2t003130002.1, NV2t003130003.1, NV2t003130004.1, NV2t003130006.1, NV2t003130005.1, NV2t003130007.1	MAN1_MOUSE
OG0001132	NV2t013988001.1	SSU72_MOUSE
OG0001133	NV2t015429001.1	LHX4_MOUSE, LHX3_MOUSE, LHX1_MOUSE, LHX5_MOUSE
OG0001134	NV2t022460001.1, NV2t008594001.1	GBRR1_MOUSE, GBRR2_MOUSE
OG0001135	NV2t012600001.1, NV2t012109001.1, NV2t011113001.1, NV2t011803001.1, NV2t011803002.1	SPRC_MOUSE, SPRL1_MOUSE
OG0001136	NV2t001768002.1, NV2t001766001.1	KCND1_MOUSE, KCND3_MOUSE, KCND2_MOUSE
OG0001137	NV2t019995001.1, NV2t005721001.1, NV2t005719001.1, NV2t005723001.1, NV2t021314001.1, NV2t005723002.1	KHK_MOUSE
OG0001138	NV2t008949002.1, NV2t008949001.1, NV2t008949003.1, NV2t008949004.1, NV2t008949005.1	MA1A1_MOUSE, MA1A2_MOUSE
OG0001139	NV2t000949001.1, NV2t019893001.1	OTOP1_MOUSE, OTOP3_MOUSE, OTOP2_MOUSE
OG0001140	NV2t016793003.1, NV2t016793005.1, NV2t016793002.1, NV2t016793007.1, NV2t016793001.1, NV2t016793004.1, NV2t016793006.1	CLN3_MOUSE
OG0001143	NV2t011163001.1, NV2t002873001.1	P5CR1_MOUSE, P5CR2_MOUSE
OG0001144	NV2t002503001.1, NV2t002509005.1, NV2t002509002.1, NV2t002509003.1, NV2t002509001.1, NV2t002509004.1	DAG1_MOUSE
OG0001145	NV2t022569006.1, NV2t022569005.1, NV2t022569004.1, NV2t022569002.1, NV2t022569001.1, NV2t022569003.1	TTC12_MOUSE
OG0001146	NV2t000133001.1	SYPH_MOUSE, SYNPR_MOUSE, SYPL1_MOUSE, SYPL2_MOUSE
OG0001147	NV2t005934001.1, NV2t005932001.1, NV2t005932002.1, NV2t005932003.1	CP4V2_MOUSE
OG0001148	NV2t010668001.1	COQA1_MOUSE, EMID1_MOUSE, EMIL3_MOUSE, EMIL1_MOUSE
OG0001149	NV2t022014001.1, NV2t021896001.1, NV2t009935001.1	CDN1A_MOUSE, CDN1B_MOUSE
OG0001150	NV2t003140003.1, NV2t002618001.1, NV2t002618002.1, NV2t002618003.1	NFIP1_MOUSE, NFIP2_MOUSE
OG0001151	NV2t022471001.1, NV2t000699001.1	FLNC_MOUSE, FLNA_MOUSE, FLNB_MOUSE
OG0001152	NV2t002432001.1, NV2t002432003.1, NV2t002432002.1	SHRM4_MOUSE, SHRM2_MOUSE, SHRM3_MOUSE
OG0001153	NV2t020239001.1	ACTN4_MOUSE, ACTN3_MOUSE, ACTN2_MOUSE, ACTN1_MOUSE
OG0001154	NV2t025506005.1, NV2t025506003.1, NV2t025506001.1, NV2t025506004.1, NV2t025506002.1	EHMT2_MOUSE, EHMT1_MOUSE
OG0001155	NV2t011480001.1	VPP1_MOUSE, VPP4_MOUSE, VPP2_MOUSE
OG0001156	NV2t020303001.1, NV2t020303002.1, NV2t020303003.1, NV2t020303005.1, NV2t020303006.1, NV2t020303007.1, NV2t020303004.1	BABA2_MOUSE
OG0001157	NV2t016897001.1, NV2t000208001.1, NV2t000208002.1, NV2t000208003.1	KAP3_MOUSE, KAP2_MOUSE
OG0001158	NV2t015457001.1, NV2t015456001.1, NV2t015454001.1, NV2t015458001.1	RIMB2_MOUSE, RIMB1_MOUSE
OG0001159	NV2t019640001.1, NV2t019636001.1, NV2t019636002.1	PCX1_MOUSE, PCX3_MOUSE, PCX2_MOUSE
OG0001160	NV2t010567002.1, NV2t010567001.1, NV2t010567003.1	PPAP_MOUSE, PPAT_MOUSE, PPAL_MOUSE
OG0001161	NV2t003372001.1, NV2t003372002.1, NV2t003372003.1	TICN2_MOUSE, TICN1_MOUSE, TICN3_MOUSE
OG0001162	NV2t022806002.1, NV2t022806003.1, NV2t022806001.1, NV2t022806005.1, NV2t022806007.1, NV2t022806004.1, NV2t022806006.1	INT10_MOUSE
OG0001163	NV2t003782001.1, NV2t003782002.1, NV2t003782003.1	HAGHL_MOUSE, GLO2_MOUSE, PNKD_MOUSE
OG0001164	NV2t002511001.1, NV2t002511002.1	ITPR1_MOUSE, ITPR3_MOUSE, ITPR2_MOUSE
OG0001165	NV2t008124001.1	CYH1_MOUSE, CYH2_MOUSE, CYH3_MOUSE, CYH4_MOUSE
OG0001166	NV2t004806001.1, NV2t011533001.1, NV2t011463002.1, NV2t011463001.1, NV2t011463003.1, NV2t011463004.1	KIF28_MOUSE
OG0001167	NV2t012991001.1, NV2t012991002.1, NV2t012991003.1	F117B_MOUSE, F117A_MOUSE, GLCI1_MOUSE
OG0001168	NV2t004442001.1, NV2t005130001.1, NV2t020534001.1, NV2t020534002.1	CYB5B_MOUSE, CYB5_MOUSE
OG0001169	NV2t025419002.1, NV2t025419003.1, NV2t025753001.1, NV2t025753002.1, NV2t025753004.1, NV2t025753003.1	CTL4_MOUSE
OG0001170	NV2t021225001.1, NV2t021225002.1, NV2t021225003.1, NV2t021225004.1	DEUP1_MOUSE, CEP63_MOUSE
OG0001171	NV2t018835002.1, NV2t018835003.1, NV2t018835005.1, NV2t018835004.1, NV2t018835001.1	PKHA2_MOUSE, PKHA1_MOUSE
OG0001172	NV2t011973001.1, NV2t011973002.1, NV2t018324001.1, NV2t018324002.1	MDM4_MOUSE, MDM2_MOUSE
OG0001173	NV2t017461001.1, NV2t017461002.1, NV2t017461003.1, NV2t017461004.1, NV2t017461005.1	F178B_MOUSE, SLF2_MOUSE
OG0001174	NV2t012664001.1, NV2t012664002.1, NV2t012664004.1, NV2t012664003.1	R3HD2_MOUSE, ARP21_MOUSE
OG0001175	NV2t016289003.1, NV2t016289001.1, NV2t016289007.1, NV2t016289002.1, NV2t016289005.1, NV2t016289006.1	FUS_MOUSE
OG0001176	NV2t001903005.1, NV2t001903001.1, NV2t001903002.1, NV2t001903003.1, NV2t001903004.1	P63_MOUSE, P73_MOUSE
OG0001177	NV2t010753001.1, NV2t010753002.1, NV2t010753004.1, NV2t010753003.1	NRAM1_MOUSE, NRAM2_MOUSE
OG0001178	NV2t006351005.1, NV2t006351004.1, NV2t006351002.1, NV2t006351001.1, NV2t006351003.1	SNTG1_MOUSE, SNTG2_MOUSE
OG0001179	NV2t003143003.1, NV2t003143002.1, NV2t003143001.1, NV2t003144001.1	FAT2_MOUSE, FAT3_MOUSE
OG0001180	NV2t025034003.1, NV2t025034002.1, NV2t025034001.1	PKN2_MOUSE, PKN3_MOUSE, PKN1_MOUSE
OG0001181	NV2t021965004.1, NV2t021965003.1, NV2t021965001.1, NV2t021965002.1, NV2t021965005.1	SCHI1_MOUSE, IQIP1_MOUSE
OG0001182	NV2t011119005.1, NV2t011119003.1, NV2t011119004.1, NV2t011119001.1, NV2t011119002.1	BIN1_MOUSE, AMPH_MOUSE
OG0001183	NV2t012506001.1, NV2t006286005.1, NV2t006286004.1, NV2t006286001.1, NV2t006286003.1	DAPP1_MOUSE
OG0001184	NV2t000252001.1	ELAV1_MOUSE, ELAV3_MOUSE, ELAV4_MOUSE, ELAV2_MOUSE
OG0001185	NV2t017253001.1, NV2t017260001.1, NV2t017256001.1	DYST_MOUSE, K0754_MOUSE, MACF1_MOUSE
OG0001186	NV2t016693001.1, NV2t016693004.1, NV2t016693003.1, NV2t016693005.1, NV2t016693006.1, NV2t016693007.1, NV2t016693002.1	CCD62_MOUSE
OG0001188	NV2t011172001.1	CACB3_MOUSE, CACB4_MOUSE, CACB1_MOUSE, CACB2_MOUSE
OG0001189	NV2t016752001.1, NV2t015889001.1	XKR4_MOUSE, XKR6_MOUSE, XKR7_MOUSE
OG0001191	NV2t013950001.1, NV2t013950003.1	DVL2_MOUSE, DVL3_MOUSE, DVL1_MOUSE
OG0001192	NV2t012887002.1, NV2t012887001.1, NV2t012887003.1, NV2t012887004.1, NV2t012887005.1	PJVK_MOUSE, GSDME_MOUSE
OG0001193	NV2t009808001.1	T11L1_MOUSE, T11L2_MOUSE, TCP11_MOUSE
OG0001194	NV2t003495001.1, NV2t003495002.1, NV2t003495003.1, NV2t003495004.1, NV2t003495005.1	RAE2_MOUSE, RAE1_MOUSE
OG0001195	NV2t016056001.1, NV2t009327002.1, NV2t009327003.1, NV2t009327001.1, NV2t009327004.1, NV2t009327005.1	PDE10_MOUSE
OG0001196	NV2t018940003.1, NV2t018940002.1, NV2t018940001.1	ST32C_MOUSE, ST32B_MOUSE, ST32A_MOUSE
OG0001197	NV2t015812001.1, NV2t015813001.1	LMBL3_MOUSE, LMBL1_MOUSE, LMBL4_MOUSE
OG0001200	NV2t010564002.1, NV2t010564001.1, NV2t010564004.1, NV2t010564005.1, NV2t010564003.1	CPT1B_MOUSE, CPT1A_MOUSE
OG0001201	NV2t021387003.1, NV2t021387005.1, NV2t021387002.1, NV2t021387006.1, NV2t021387004.1, NV2t021387001.1, NV2t021387007.1	RHG33_MOUSE
OG0001202	NV2t015599003.1, NV2t015599001.1, NV2t015599004.1, NV2t015599002.1	CAST1_MOUSE, CAST2_MOUSE
OG0001203	NV2t016851001.1, NV2t016851003.1, NV2t016851002.1	TGFI1_MOUSE, LPXN_MOUSE, PAXI_MOUSE
OG0001204	NV2t012315001.1	ASIC4_MOUSE, ASIC3_MOUSE, ASIC2_MOUSE, ASIC1_MOUSE
OG0001206	NV2t011936001.1	PDK3_MOUSE, PDK1_MOUSE, PDK4_MOUSE, PDK2_MOUSE
OG0001207	NV2t013006001.1, NV2t013006003.1, NV2t013006002.1	CREM_MOUSE, ATF1_MOUSE, CREB1_MOUSE
OG0001208	NV2t001454001.1, NV2t010415001.1, NV2t010410001.1, NV2t010427001.1	SL9B1_MOUSE, SL9B2_MOUSE
OG0001209	NV2t016578002.1	YPEL2_MOUSE, YPEL3_MOUSE, YPEL1_MOUSE, YPEL4_MOUSE
OG0001210	NV2t017554002.1, NV2t017554003.1, NV2t017554005.1, NV2t017554004.1, NV2t017554001.1	PLPP4_MOUSE, PLPP5_MOUSE
OG0001211	NV2t025417001.1, NV2t025417002.1, NV2t025417003.1	PRC2A_MOUSE, PRC2B_MOUSE, PRC2C_MOUSE
OG0001212	NV2t002296004.1, NV2t002296003.1, NV2t002296005.1	HEM0_MOUSE, HEM1_MOUSE
OG0001213	NV2t004603001.1, NV2t004603006.1, NV2t004603004.1, NV2t004603003.1, NV2t004603002.1, NV2t004603007.1, NV2t004603005.1	FAN_MOUSE
OG0001214	NV2t017057003.1, NV2t017057001.1, NV2t017057002.1, NV2t017057004.1, NV2t017057005.1	AP2B1_MOUSE, AP1B1_MOUSE
OG0001215	NV2t005819001.1, NV2t005819002.1, NV2t005819003.1, NV2t005819004.1, NV2t005819005.1, NV2t005819006.1, NV2t005819007.1	VATH_MOUSE
OG0001216	NV2t004805004.1, NV2t004805005.1, NV2t004805001.1, NV2t004805003.1, NV2t004805002.1	E2F5_MOUSE, E2F4_MOUSE
OG0001217	NV2t019088001.1	ENTP1_MOUSE, ENTP8_MOUSE, ENTP3_MOUSE, ENTP2_MOUSE
OG0001218	NV2t018717003.1, NV2t018717004.1, NV2t018717005.1, NV2t018717007.1, NV2t018717001.1, NV2t018717002.1, NV2t018717006.1	DAAF9_MOUSE
OG0001219	NV2t012990005.1, NV2t012990001.1, NV2t012990002.1, NV2t012990004.1, NV2t012990003.1	M3K3_MOUSE, M3K2_MOUSE
OG0001220	NV2t006096004.1, NV2t006096005.1, NV2t006096002.1, NV2t006096001.1, NV2t006096003.1	PHF20_MOUSE, P20L1_MOUSE
OG0001221	NV2t017534001.1	2ABG_MOUSE, 2ABB_MOUSE, 2ABA_MOUSE, 2ABD_MOUSE
OG0001222	NV2t011684001.1, NV2t011684003.1, NV2t011684002.1, NV2t011684004.1	EPC2_MOUSE, EPC1_MOUSE
OG0001223	NV2t019548001.1	NDRG3_MOUSE, NDRG1_MOUSE, NDRG2_MOUSE, NDRG4_MOUSE
OG0001224	NV2t025185001.1, NV2t014162001.1, NV2t014163001.1	PEAR1_MOUSE, MEG11_MOUSE, MEG10_MOUSE
OG0001225	NV2t011415001.1, NV2t004065001.1, NV2t004065003.1, NV2t004065002.1	PDP1_MOUSE, PDP2_MOUSE
OG0001226	NV2t021648001.1, NV2t003628004.1	SC5A5_MOUSE, SC5AC_MOUSE, SC5A8_MOUSE
OG0001227	NV2t018054001.1, NV2t018056001.1	SCUB3_MOUSE, SCUB1_MOUSE, PHXR5_MOUSE, SCUB2_MOUSE
OG0001228	NV2t002610003.1, NV2t002610004.1, NV2t002610005.1, NV2t002614001.1, NV2t002610001.1, NV2t002610002.1	NKPD1_MOUSE
OG0001229	NV2t002880002.1, NV2t002880001.1, NV2t002880003.1, NV2t002880005.1, NV2t002880006.1, NV2t002880007.1, NV2t002880004.1	OGT1_MOUSE
OG0001230	NV2t013400001.1, NV2t013400002.1, NV2t013400003.1, NV2t013400004.1, NV2t013400005.1	DYR_MOUSE
OG0001231	NV2t005397001.1, NV2t005397002.1, NV2t005397003.1, NV2t005397004.1, NV2t005397005.1	ELMO2_MOUSE, ELMO1_MOUSE
OG0001232	NV2t014723001.1	AT132_MOUSE, AT133_MOUSE, AT135_MOUSE, AT134_MOUSE
OG0001233	NV2t023004001.1	ARHG2_MOUSE, AKP13_MOUSE, ARG28_MOUSE, ARHGI_MOUSE
OG0001234	NV2t023488002.1, NV2t023488006.1, NV2t023488007.1, NV2t023488001.1, NV2t023488003.1, NV2t023488004.1, NV2t023488005.1	K0825_MOUSE
OG0001235	NV2t013937007.1, NV2t013937006.1, NV2t013937004.1, NV2t013937003.1, NV2t013937001.1, NV2t013937002.1, NV2t013937005.1	PKHG5_MOUSE
OG0001236	NV2t000261001.1	KDM5B_MOUSE, KDM5A_MOUSE, KDM5C_MOUSE, KDM5D_MOUSE
OG0001237	NV2t019060001.1	ABLM1_MOUSE, DEMA_MOUSE, ABLM3_MOUSE, ABLM2_MOUSE
OG0001238	NV2t011566004.1, NV2t011566002.1, NV2t011566001.1, NV2t011566005.1, NV2t011566006.1, NV2t011566003.1	PSA_MOUSE
OG0001239	NV2t005870001.1	AGO2_MOUSE, AGO1_MOUSE, AGO4_MOUSE, AGO3_MOUSE
OG0001240	NV2t006366007.1, NV2t006366001.1, NV2t006366005.1, NV2t006366006.1, NV2t006366003.1, NV2t006366002.1, NV2t006366004.1	DRC1_MOUSE
OG0001241	NV2t019665001.1, NV2t020839001.1, NV2t019435001.1, NV2t019444001.1, NV2t001331001.1, NV2t001335001.1, NV2t023301002.1	SAP3_MOUSE
OG0001242	NV2t024825001.1, NV2t017599001.1, NV2t013065001.1, NV2t013061001.1, NV2t013061002.1	GABP1_MOUSE, GABP2_MOUSE
OG0001243	NV2t008996001.1, NV2t009097001.1	CYTB_MOUSE, CYTA_MOUSE, CYT1_MOUSE, CYT2_MOUSE, CYT3_MOUSE
OG0001244	NV2t010957001.1, NV2t012092001.1, NV2t012092002.1	NPT2C_MOUSE, NPT2A_MOUSE, NPT2B_MOUSE
OG0001245	NV2t017410001.1	HTRA2_MOUSE, HTRA3_MOUSE, HTRA4_MOUSE, HTRA1_MOUSE
OG0001246	NV2t010598005.1, NV2t010598001.1, NV2t010598002.1, NV2t010598004.1, NV2t010598003.1	MTCH1_MOUSE, MTCH2_MOUSE
OG0001247	NV2t024128001.1	SHB_MOUSE, SHD_MOUSE, SHE_MOUSE, SHF_MOUSE
OG0001248	NV2t008017001.1, NV2t008017002.1, NV2t008017003.1	GGA2_MOUSE, GGA3_MOUSE, GGA1_MOUSE
OG0001249	NV2t006659001.1	SDC4_MOUSE, SDC2_MOUSE, SDC3_MOUSE, SDC1_MOUSE
OG0001252	NV2t010818001.1, NV2t010818002.1, NV2t010818003.1, NV2t010818004.1	AKT3_MOUSE, AKT2_MOUSE, AKT1_MOUSE
OG0001258	NV2t008675001.1, NV2t004113001.1	GSTT2_MOUSE, GSTT4_MOUSE, GSTT3_MOUSE, GSTT1_MOUSE
OG0001259	NV2t010162001.1	IGLO5_MOUSE, NEGR1_MOUSE, LSAMP_MOUSE, NTRI_MOUSE
OG0001261	NV2t015091001.1	ZN639_MOUSE, ZN711_MOUSE, ZFY1_MOUSE, ZFY2_MOUSE, ZFX_MOUSE
OG0001274	NV2t016158001.1, NV2t016156001.1, NV2t016623001.1	BARX1_MOUSE, BARX2_MOUSE
OG0001275	NV2t014549001.1, NV2t014549002.1, NV2t014549003.1	S22A4_MOUSE, S22AL_MOUSE, S22A5_MOUSE
OG0001277	NV2t025124001.1	LYAM2_MOUSE, LYAM1_MOUSE, LYAM3_MOUSE
OG0001278	NV2t017051001.1	ACTA_MOUSE, ACTH_MOUSE, ACTC_MOUSE, ACTS_MOUSE
OG0001279	NV2t017494001.1, NV2t009914001.1	ATS2_MOUSE
OG0001280	NV2t006577001.1, NV2t023723002.1, NV2t023723001.1, NV2t023723003.1	CCNB2_MOUSE, CCNB1_MOUSE
OG0001281	NV2t014862002.1, NV2t014862003.1, NV2t014862001.1	MDGA2_MOUSE, MDGA1_MOUSE
OG0001282	NV2t021192001.1	B3A3_MOUSE, B3A2_MOUSE, B3AT_MOUSE
OG0001283	NV2t000137001.1, NV2t000137003.1, NV2t000137002.1	CPNE8_MOUSE, CPNE5_MOUSE, CPNE9_MOUSE
OG0001284	NV2t022663001.1	ZN740_MOUSE, PATZ1_MOUSE, MAZ_MOUSE
OG0001285	NV2t009505002.1	GBG4_MOUSE, GBG3_MOUSE, GBG2_MOUSE, GBG8_MOUSE
OG0001287	NV2t002916001.1, NV2t002916002.1	PAX5_MOUSE, PAX2_MOUSE, PAX8_MOUSE
OG0001288	NV2t009315001.1, NV2t021043002.1, NV2t009315002.1, NV2t009315003.1	IMA1_MOUSE, IMA8_MOUSE
OG0001289	NV2t015979003.1, NV2t015979001.1, NV2t015979002.1, NV2t014499001.1	S39A8_MOUSE, S39AE_MOUSE
OG0001290	NV2t017216003.1, NV2t017216006.1, NV2t017216004.1, NV2t017216001.1, NV2t017216005.1, NV2t017216002.1	DHX36_MOUSE
OG0001291	NV2t002490001.1, NV2t003769001.1	LMO3_MOUSE, RBTN1_MOUSE
OG0001292	NV2t024941001.1, NV2t024941002.1	CAC1E_MOUSE, CAC1B_MOUSE, CAC1A_MOUSE
OG0001293	NV2t007773001.1, NV2t007773003.1	RHOQ_MOUSE, RHOU_MOUSE, CDC42_MOUSE
OG0001295	NV2t006620001.1, NV2t012812001.1, NV2t012812002.1, NV2t006610001.1	ATOH8_MOUSE
OG0001296	NV2t012799001.1, NV2t012795001.1	CRX_MOUSE, OTX1_MOUSE, OTX2_MOUSE
OG0001297	NV2t023127001.1	FURIN_MOUSE, PCSK4_MOUSE, PCSK5_MOUSE
OG0001298	NV2t006770001.1, NV2t005713001.1	NTRK1_MOUSE, NTRK3_MOUSE, NTRK2_MOUSE
OG0001300	NV2t022153001.1, NV2t022153002.1, NV2t025187001.1, NV2t025193001.1	NPNT_MOUSE, EGFL6_MOUSE
OG0001301	NV2t012116001.1, NV2t012116002.1	RAB5A_MOUSE, RAB5C_MOUSE, RAB5B_MOUSE
OG0001303	NV2t021427001.1	VGLU3_MOUSE, VGLU1_MOUSE, VGLU2_MOUSE
OG0001304	NV2t009157001.1	TFF3_MOUSE, TFF1_MOUSE
OG0001305	NV2t014904001.1, NV2t014905001.1, NV2t014905002.1, NV2t014905003.1	PGBM_MOUSE
OG0001306	NV2t018700001.1, NV2t018698001.1, NV2t018698002.1, NV2t018698003.1	PLPL2_MOUSE, PLPL3_MOUSE
OG0001307	NV2t020330001.1, NV2t020853001.1	DHRS7_MOUSE
OG0001309	NV2t017945002.1, NV2t017945003.1, NV2t017945001.1, NV2t017945004.1	IPO8_MOUSE, IPO7_MOUSE
OG0001310	NV2t010855001.1, NV2t010855002.1, NV2t010855003.1, NV2t010855004.1, NV2t010855005.1	CCD47_MOUSE
OG0001312	NV2t014944001.1, NV2t014944004.1, NV2t014944006.1, NV2t014944002.1, NV2t014944003.1, NV2t014944005.1	ELYS_MOUSE
OG0001314	NV2t006716002.1, NV2t006716003.1, NV2t016606001.1	FKBP7_MOUSE, FKB14_MOUSE
OG0001315	NV2t012711001.1	HNRL1_MOUSE, HNRL2_MOUSE, HNRPU_MOUSE
OG0001316	NV2t005557001.1, NV2t005680001.1, NV2t007576001.1, NV2t005648001.1	CN093_MOUSE
OG0001319	NV2t013537002.1, NV2t013537003.1	ENOA_MOUSE, ENOG_MOUSE, ENOB_MOUSE
OG0001321	NV2t003640003.1, NV2t003640001.1, NV2t003640002.1	UBA7_MOUSE, UBA1Y_MOUSE, UBA1_MOUSE
OG0001322	NV2t021544001.1	AOC1_MOUSE
OG0001323	NV2t022811001.1, NV2t022811002.1, NV2t022812001.1	CPZIP_MOUSE, WASC2_MOUSE
OG0001324	NV2t000378001.1, NV2t000378002.1	GIPC1_MOUSE, GIPC3_MOUSE, GIPC2_MOUSE
OG0001325	NV2t018611001.1, NV2t018278001.1	DIRC2_MOUSE
OG0001326	NV2t025306001.1, NV2t025309001.1, NV2t025311001.1	TOIP2_MOUSE, TOIP1_MOUSE
OG0001330	NV2t016980001.1, NV2t016199005.1, NV2t016199008.1	P2RX5_MOUSE, P2RX4_MOUSE
OG0001331	NV2t023187001.1, NV2t021890001.1, NV2t012126001.1, NV2t012126002.1	HYKK_MOUSE
OG0001332	NV2t008360001.1, NV2t008360002.1, NV2t008360003.1, NV2t008360004.1	REPS2_MOUSE, REPS1_MOUSE
