Orthogroup	Nvec	Gfas
OG0000132	NV2t002546001.1, NV2t025177001.1, NV2t003123001.1	gfas1.m1.18941.m1, gfas1.m1.5274.m1, gfas1.m1.7988.m1
OG0000132	NV2t024629001.1, NV2t024629002.1	gfas1.m1.5383.m1, gfas1.m1.2741.m1, gfas1.m1.2749.m1
OG0000132	NV2t001190001.1	gfas1.m1.18354.m1, gfas1.m1.18986.m1
OG0000133	NV2t011760001.1, NV2t022623001.1, NV2t022624001.1, NV2t022627001.1, NV2t022622001.1, NV2t022626001.1, NV2t012169001.1, NV2t007792001.1	gfas1.m1.23768.m1, gfas1.m1.10832.m1, gfas1.m1.19218.m1, gfas1.m1.16940.m1, gfas1.m1.12847.m1, gfas1.m1.12674.m1
OG0000134	NV2t010478001.1	gfas1.m1.12891.m1
OG0000134	NV2t009252001.1, NV2t016833001.1, NV2t000888001.1, NV2t018650001.1, NV2t013322001.1, NV2t023686001.1, NV2t009353001.1, NV2t000916001.1, NV2t018851001.1, NV2t001671001.1, NV2t001632001.1, NV2t006360001.1, NV2t016328002.1, NV2t007023002.1, NV2t023342001.1, NV2t001705001.1, NV2t010762001.1, NV2t009288001.1, NV2t005889001.1, NV2t006427004.1, NV2t018536001.1, NV2t023240001.1, NV2t006427003.1, NV2t020286001.1, NV2t012981001.1, NV2t013527001.1, NV2t019705002.1, NV2t021571001.1, NV2t008886001.1	gfas1.m1.19255.m1
OG0000140	NV2t024535001.1, NV2t024535002.1	gfas1.m1.1256.m1
OG0000140	NV2t011872001.1, NV2t011872002.1	gfas1.m1.14045.m1, gfas1.m1.19052.m1, gfas1.m1.8586.m1, gfas1.m1.19051.m1
OG0000140	NV2t010959002.1, NV2t010959003.1, NV2t010959004.1, NV2t010959005.1, NV2t010959001.1	gfas1.m1.16140.m1, gfas1.m1.5787.m1, gfas1.m1.20766.m1, gfas1.m1.8588.m1, gfas1.m1.21564.m1
OG0000141	NV2t010225001.1, NV2t010352001.1, NV2t010352004.1, NV2t010352002.1, NV2t010352006.1, NV2t010352003.1, NV2t010352005.1, NV2t010352007.1	gfas1.m1.7285.m1, gfas1.m1.18524.m1, gfas1.m1.2615.m1, gfas1.m1.12428.m1, gfas1.m1.23869.m1, gfas1.m1.11750.m1, gfas1.m1.10208.m1, gfas1.m1.10828.m1, gfas1.m1.10207.m1, gfas1.m1.10920.m1, gfas1.m1.22808.m1, gfas1.m1.18472.m1, gfas1.m1.10244.m1, gfas1.m1.20237.m1, gfas1.m1.8562.m1, gfas1.m1.18471.m1, gfas1.m1.13004.m1, gfas1.m1.20549.m1, gfas1.m1.9334.m1, gfas1.m1.10425.m1, gfas1.m1.12587.m1, gfas1.m1.6951.m1
OG0000142	NV2t021688001.1, NV2t021688002.1	gfas1.m1.22195.m1, gfas1.m1.23795.m1, gfas1.m1.12199.m1, gfas1.m1.11543.m1, gfas1.m1.12713.m1, gfas1.m1.7743.m1, gfas1.m1.12395.m1
OG0000142	NV2t025945001.1, NV2t009966001.1	gfas1.m1.12499.m1, gfas1.m1.12036.m1, gfas1.m1.1887.m1, gfas1.m1.8793.m1, gfas1.m1.8792.m1, gfas1.m1.10932.m1, gfas1.m1.21965.m1, gfas1.m1.7203.m1, gfas1.m1.22055.m1, gfas1.m1.21047.m1, gfas1.m1.5002.m1, gfas1.m1.8808.m1, gfas1.m1.5121.m1, gfas1.m1.20815.m1, gfas1.m1.7558.m1, gfas1.m1.21048.m1, gfas1.m1.11701.m1, gfas1.m1.8959.m1, gfas1.m1.9095.m1, gfas1.m1.8958.m1
OG0000143	NV2t012928001.1	gfas1.m1.20210.m1, gfas1.m1.18343.m1, gfas1.m1.11083.m1
OG0000143	NV2t019331001.1	gfas1.m1.8779.m1, gfas1.m1.21128.m1, gfas1.m1.1674.m1, gfas1.m1.3620.m1, gfas1.m1.12315.m1, gfas1.m1.13087.m1, gfas1.m1.20616.m1
OG0000143	NV2t003335001.1	gfas1.m1.10829.m1, gfas1.m1.11566.m1, gfas1.m1.21478.m1, gfas1.m1.12568.m1, gfas1.m1.8997.m1, gfas1.m1.9102.m1
OG0000144	NV2t020131001.1	gfas1.m1.11373.m1, gfas1.m1.7106.m1, gfas1.m1.7108.m1, gfas1.m1.7107.m1, gfas1.m1.7104.m1, gfas1.m1.11313.m1
OG0000144	NV2t017941001.1	gfas1.m1.19835.m1, gfas1.m1.12032.m1
OG0000144	NV2t020392001.1, NV2t000813001.1, NV2t021788001.1, NV2t002565001.1, NV2t002575001.1, NV2t002571001.1, NV2t002564001.1, NV2t002566001.1, NV2t002558002.1, NV2t002558001.1, NV2t002568001.1	gfas1.m1.3613.m1, gfas1.m1.13798.m1
OG0000145	NV2t002178001.1	gfas1.m1.20875.m1, gfas1.m1.21072.m1, gfas1.m1.10731.m1, gfas1.m1.12124.m1, gfas1.m1.13049.m1, gfas1.m1.10626.m1, gfas1.m1.23559.m1, gfas1.m1.5036.m1, gfas1.m1.12839.m1, gfas1.m1.12121.m1, gfas1.m1.23560.m1, gfas1.m1.22132.m1, gfas1.m1.9410.m1
OG0000145	NV2t011621001.1, NV2t004950001.1, NV2t025040001.1, NV2t014952001.1	gfas1.m1.23613.m1, gfas1.m1.19193.m1, gfas1.m1.23614.m1, gfas1.m1.7587.m1
OG0000146	NV2t012878036.1, NV2t012878035.1, NV2t012878034.1, NV2t012878037.1, NV2t012878009.1, NV2t012878002.1, NV2t012878001.1, NV2t012878008.1, NV2t012878007.1, NV2t012878006.1, NV2t012878003.1, NV2t012878004.1, NV2t012878005.1, NV2t012878020.1, NV2t012878025.1, NV2t012878021.1, NV2t012878027.1, NV2t012878022.1, NV2t012878023.1, NV2t012878026.1, NV2t012878029.1, NV2t012878019.1, NV2t012878024.1, NV2t012878028.1	gfas1.m1.6254.m1, gfas1.m1.13127.m1, gfas1.m1.6122.m1, gfas1.m1.13578.m1, gfas1.m1.21693.m1, gfas1.m1.8209.m1, gfas1.m1.17194.m1
OG0000147	NV2t009386001.1	gfas1.m1.9989.m1, gfas1.m1.11046.m1, gfas1.m1.11070.m1
OG0000147	NV2t012931001.1, NV2t024402001.1, NV2t024402002.1, NV2t016042001.1, NV2t024673001.1, NV2t003267001.1, NV2t021049001.1, NV2t005600001.1, NV2t012231001.1, NV2t011149001.1, NV2t009469001.1, NV2t025903001.1, NV2t009499001.1, NV2t002179001.1, NV2t012094001.1, NV2t007803001.1, NV2t013981002.1, NV2t018161001.1, NV2t018161002.1, NV2t006748001.1, NV2t025776001.1, NV2t023945001.1	gfas1.m1.22623.m1, gfas1.m1.22839.m1, gfas1.m1.13283.m1, gfas1.m1.4562.m1, gfas1.m1.17848.m1
OG0000150	NV2t002378001.1	gfas1.m1.3424.m1, gfas1.m1.22414.m1
OG0000150	NV2t024653001.1, NV2t024655001.1	gfas1.m1.11308.m1, gfas1.m1.3679.m1, gfas1.m1.9634.m1, gfas1.m1.7610.m1
OG0000150	NV2t002527004.1, NV2t002527001.1, NV2t002527002.1, NV2t002527003.1	gfas1.m1.12014.m1, gfas1.m1.12015.m1, gfas1.m1.5982.m1, gfas1.m1.4176.m1, gfas1.m1.5989.m1, gfas1.m1.5987.m1, gfas1.m1.9562.m1, gfas1.m1.5986.m1, gfas1.m1.9561.m1
OG0000151	NV2t015419001.1, NV2t015419002.1	gfas1.m1.2719.m1
OG0000151	NV2t020120001.1	gfas1.m1.6442.m1
OG0000151	NV2t000530001.1	gfas1.m1.16479.m1
OG0000151	NV2t020328001.1	gfas1.m1.10951.m1
OG0000151	NV2t021449001.1	gfas1.m1.11811.m1
OG0000152	NV2t001371001.1, NV2t001371002.1, NV2t019872001.1, NV2t022030001.1, NV2t002255001.1	gfas1.m1.17054.m1, gfas1.m1.20767.m1, gfas1.m1.8890.m1, gfas1.m1.21155.m1, gfas1.m1.22213.m1, gfas1.m1.23565.m1, gfas1.m1.835.m1, gfas1.m1.12198.m1, gfas1.m1.22265.m1, gfas1.m1.21156.m1, gfas1.m1.4880.m1, gfas1.m1.8491.m1, gfas1.m1.4878.m1, gfas1.m1.23799.m1, gfas1.m1.7332.m1, gfas1.m1.12223.m1, gfas1.m1.7331.m1, gfas1.m1.18317.m1, gfas1.m1.21697.m1, gfas1.m1.6173.m1, gfas1.m1.8213.m1, gfas1.m1.6172.m1, gfas1.m1.8212.m1, gfas1.m1.18316.m1, gfas1.m1.22292.m1
OG0000153	NV2t004893001.1	gfas1.m1.12179.m1, gfas1.m1.7924.m1, gfas1.m1.11441.m1, gfas1.m1.8385.m1, gfas1.m1.12178.m1, gfas1.m1.20038.m1, gfas1.m1.22936.m1, gfas1.m1.20039.m1, gfas1.m1.22796.m1, gfas1.m1.468.m1, gfas1.m1.23131.m1, gfas1.m1.23043.m1, gfas1.m1.21438.m1, gfas1.m1.11222.m1, gfas1.m1.10480.m1, gfas1.m1.23910.m1, gfas1.m1.10478.m1, gfas1.m1.22084.m1, gfas1.m1.12441.m1, gfas1.m1.19075.m1, gfas1.m1.20285.m1, gfas1.m1.21173.m1, gfas1.m1.15719.m1, gfas1.m1.12151.m1, gfas1.m1.3842.m1, gfas1.m1.19803.m1, gfas1.m1.23546.m1, gfas1.m1.10695.m1, gfas1.m1.22313.m1
OG0000154	NV2t000923001.1, NV2t000922001.1, NV2t000922002.1	gfas1.m1.18938.m1, gfas1.m1.17243.m1
OG0000154	NV2t015241001.1	gfas1.m1.20076.m1
OG0000154	NV2t013246001.1	gfas1.m1.14571.m1
OG0000154	NV2t013345001.1	gfas1.m1.5794.m1
OG0000154	NV2t023185001.1, NV2t023185002.1	gfas1.m1.13934.m1
OG0000154	NV2t023838001.1, NV2t012442001.1, NV2t012443001.1	gfas1.m1.18488.m1, gfas1.m1.23769.m1
OG0000155	NV2t003062001.1, NV2t003062002.1, NV2t003062003.1	gfas1.m1.4740.m1, gfas1.m1.23886.m1, gfas1.m1.9028.m1, gfas1.m1.20162.m1, gfas1.m1.7305.m1, gfas1.m1.12020.m1, gfas1.m1.20230.m1, gfas1.m1.842.m1, gfas1.m1.23758.m1, gfas1.m1.12853.m1, gfas1.m1.20296.m1, gfas1.m1.12380.m1, gfas1.m1.20245.m1, gfas1.m1.22144.m1, gfas1.m1.6593.m1, gfas1.m1.22223.m1, gfas1.m1.16860.m1, gfas1.m1.7672.m1, gfas1.m1.21299.m1, gfas1.m1.21893.m1, gfas1.m1.21330.m1, gfas1.m1.2620.m1, gfas1.m1.9036.m1, gfas1.m1.9240.m1, gfas1.m1.21660.m1
OG0000156	NV2t019838001.1, NV2t019838002.1, NV2t019838005.1, NV2t019838003.1, NV2t019838004.1	gfas1.m1.23929.m1, gfas1.m1.23139.m1, gfas1.m1.11711.m1, gfas1.m1.8437.m1, gfas1.m1.22781.m1, gfas1.m1.23925.m1, gfas1.m1.22190.m1, gfas1.m1.8406.m1, gfas1.m1.8410.m1, gfas1.m1.23794.m1, gfas1.m1.8869.m1, gfas1.m1.23913.m1, gfas1.m1.21180.m1, gfas1.m1.23091.m1, gfas1.m1.12929.m1, gfas1.m1.23392.m1, gfas1.m1.11741.m1, gfas1.m1.12584.m1, gfas1.m1.8325.m1, gfas1.m1.22868.m1, gfas1.m1.17259.m1, gfas1.m1.22542.m1, gfas1.m1.23167.m1, gfas1.m1.21981.m1, gfas1.m1.22473.m1
OG0000157	NV2t014588004.1, NV2t014588001.1, NV2t014588003.1, NV2t014588005.1, NV2t014588002.1	gfas1.m1.4668.m1, gfas1.m1.3896.m1
OG0000157	NV2t013920001.1	gfas1.m1.3895.m1, gfas1.m1.7032.m1, gfas1.m1.7033.m1, gfas1.m1.8074.m1, gfas1.m1.1608.m1, gfas1.m1.21059.m1, gfas1.m1.4820.m1, gfas1.m1.4821.m1, gfas1.m1.4822.m1, gfas1.m1.1638.m1, gfas1.m1.19013.m1, gfas1.m1.20494.m1, gfas1.m1.21346.m1, gfas1.m1.1260.m1
OG0000158	NV2t022863001.1, NV2t022863003.1, NV2t022863002.1	gfas1.m1.14276.m1
OG0000159	NV2t007608001.1	gfas1.m1.1880.m1, gfas1.m1.13421.m1
OG0000159	NV2t019080001.1, NV2t019080002.1	gfas1.m1.9141.m1
OG0000159	NV2t023292001.1, NV2t023019001.1, NV2t022974001.1, NV2t023056001.1, NV2t023294001.1, NV2t006809001.1	gfas1.m1.12146.m1, gfas1.m1.5990.m1, gfas1.m1.6960.m1, gfas1.m1.11564.m1
OG0000160	NV2t003420001.1, NV2t017147001.1, NV2t017147002.1	gfas1.m1.21539.m1, gfas1.m1.19934.m1, gfas1.m1.3156.m1, gfas1.m1.8180.m1, gfas1.m1.22139.m1, gfas1.m1.19933.m1, gfas1.m1.17864.m1
OG0000160	NV2t010678001.1	gfas1.m1.2830.m1, gfas1.m1.2836.m1, gfas1.m1.2828.m1, gfas1.m1.23621.m1, gfas1.m1.9831.m1, gfas1.m1.14581.m1, gfas1.m1.4980.m1, gfas1.m1.9709.m1, gfas1.m1.18144.m1, gfas1.m1.15654.m1, gfas1.m1.23916.m1, gfas1.m1.4153.m1, gfas1.m1.15422.m1, gfas1.m1.4149.m1
OG0000161	NV2t003032001.1, NV2t005983001.1, NV2t005631001.1, NV2t005632001.1, NV2t009165001.1, NV2t006515001.1, NV2t002815001.1	gfas1.m1.6477.m1, gfas1.m1.19846.m1, gfas1.m1.3596.m1, gfas1.m1.12218.m1
OG0000161	NV2t019935001.1, NV2t019935002.1, NV2t019938001.1	gfas1.m1.16817.m1, gfas1.m1.11676.m1, gfas1.m1.13061.m1, gfas1.m1.12090.m1, gfas1.m1.11398.m1, gfas1.m1.12362.m1, gfas1.m1.22688.m1, gfas1.m1.12494.m1, gfas1.m1.20977.m1, gfas1.m1.12782.m1, gfas1.m1.11400.m1, gfas1.m1.11297.m1, gfas1.m1.11298.m1, gfas1.m1.11399.m1, gfas1.m1.8013.m1
OG0000162	NV2t020211001.1	gfas1.m1.2267.m1
OG0000162	NV2t022279001.1	gfas1.m1.15116.m1
OG0000162	NV2t022278001.1, NV2t021333001.1	gfas1.m1.16104.m1
OG0000163	NV2t005553001.1, NV2t005777001.1, NV2t005777002.1, NV2t005789001.1, NV2t005791001.1, NV2t005794001.1, NV2t005792001.1, NV2t005792003.1, NV2t005792002.1, NV2t005796001.1, NV2t005796002.1, NV2t005796003.1	gfas1.m1.6927.m1, gfas1.m1.19765.m1
OG0000163	NV2t006478001.1, NV2t006478002.1	gfas1.m1.16703.m1
OG0000163	NV2t003870001.1, NV2t003870002.1	gfas1.m1.12324.m1, gfas1.m1.7229.m1, gfas1.m1.12830.m1
OG0000164	NV2t023229001.1, NV2t023229002.1, NV2t023229003.1, NV2t023230001.1	gfas1.m1.16764.m1
OG0000164	NV2t023706002.1, NV2t023706006.1, NV2t023706004.1, NV2t023706003.1, NV2t023706005.1, NV2t014043001.1, NV2t014041002.1, NV2t014041003.1, NV2t014041001.1, NV2t014046006.1, NV2t014048001.1, NV2t014046005.1, NV2t014046004.1, NV2t014046003.1, NV2t014047001.1, NV2t014046001.1, NV2t014046002.1, NV2t014049001.1	gfas1.m1.3797.m1, gfas1.m1.16768.m1
OG0000168	NV2t019206001.1, NV2t019206002.1	gfas1.m1.17.m1, gfas1.m1.5374.m1, gfas1.m1.5370.m1
OG0000168	NV2t008613003.1	gfas1.m1.11407.m1, gfas1.m1.12131.m1, gfas1.m1.19944.m1
OG0000168	NV2t014178001.1	gfas1.m1.14920.m1, gfas1.m1.18462.m1, gfas1.m1.23837.m1, gfas1.m1.12896.m1, gfas1.m1.18461.m1, gfas1.m1.9638.m1, gfas1.m1.8346.m1, gfas1.m1.19356.m1, gfas1.m1.11231.m1, gfas1.m1.5718.m1, gfas1.m1.20026.m1, gfas1.m1.21295.m1, gfas1.m1.16149.m1, gfas1.m1.19839.m1, gfas1.m1.19838.m1, gfas1.m1.10333.m1, gfas1.m1.11310.m1
OG0000169	NV2t008870003.1, NV2t008870004.1, NV2t008870001.1, NV2t008870002.1, NV2t008863001.1, NV2t008868001.1, NV2t008854001.1, NV2t008860001.1, NV2t008834001.1, NV2t008834002.1, NV2t008837001.1, NV2t008833001.1, NV2t008836001.1, NV2t008869001.1	gfas1.m1.6978.m1, gfas1.m1.23938.m1, gfas1.m1.22899.m1, gfas1.m1.6981.m1, gfas1.m1.13273.m1, gfas1.m1.13268.m1, gfas1.m1.13059.m1, gfas1.m1.6856.m1, gfas1.m1.4424.m1, gfas1.m1.2711.m1, gfas1.m1.13793.m1, gfas1.m1.12063.m1, gfas1.m1.12064.m1, gfas1.m1.9104.m1
OG0000170	NV2t007367001.1	gfas1.m1.9650.m1
OG0000170	NV2t007950001.1	gfas1.m1.9649.m1
OG0000170	NV2t011930001.1, NV2t011930002.1	gfas1.m1.2010.m1
OG0000171	NV2t020467001.1, NV2t020462001.1, NV2t020462002.1, NV2t020462005.1, NV2t020462006.1, NV2t020462007.1, NV2t020462004.1, NV2t020462003.1, NV2t020465002.1, NV2t020465007.1, NV2t020463001.1, NV2t020463003.1, NV2t020463002.1, NV2t020463004.1, NV2t020463005.1, NV2t020465005.1, NV2t020465001.1, NV2t020465003.1, NV2t020465006.1, NV2t020465004.1, NV2t020465008.1	gfas1.m1.13334.m1
OG0000173	NV2t000926001.1	gfas1.m1.530.m1
OG0000173	NV2t005137001.1	gfas1.m1.20648.m1
OG0000173	NV2t005138001.1	gfas1.m1.16352.m1, gfas1.m1.16351.m1
OG0000173	NV2t005136001.1	gfas1.m1.16356.m1
OG0000173	NV2t004231001.1	gfas1.m1.16349.m1
OG0000173	NV2t004233001.1	gfas1.m1.16357.m1, gfas1.m1.16347.m1, gfas1.m1.19014.m1, gfas1.m1.19015.m1
OG0000173	NV2t004139001.1, NV2t004141001.1	gfas1.m1.18086.m1, gfas1.m1.132.m1
OG0000173	NV2t024767001.1	gfas1.m1.521.m1
OG0000173	NV2t000928001.1	gfas1.m1.523.m1
OG0000174	NV2t002894001.1	gfas1.m1.6846.m1, gfas1.m1.13924.m1, gfas1.m1.12899.m1, gfas1.m1.12109.m1, gfas1.m1.22323.m1, gfas1.m1.13385.m1, gfas1.m1.21107.m1, gfas1.m1.18765.m1, gfas1.m1.8759.m1, gfas1.m1.4858.m1, gfas1.m1.6817.m1, gfas1.m1.12317.m1, gfas1.m1.7755.m1, gfas1.m1.6271.m1, gfas1.m1.12806.m1, gfas1.m1.2849.m1, gfas1.m1.22428.m1, gfas1.m1.9155.m1, gfas1.m1.21002.m1, gfas1.m1.15775.m1, gfas1.m1.23669.m1, gfas1.m1.21076.m1, gfas1.m1.19585.m1, gfas1.m1.10631.m1
OG0000175	NV2t008167001.1	gfas1.m1.18816.m1
OG0000175	NV2t020442001.1, NV2t020450001.1, NV2t020450002.1	gfas1.m1.4254.m1, gfas1.m1.10916.m1, gfas1.m1.13329.m1, gfas1.m1.13328.m1
OG0000175	NV2t020668001.1	gfas1.m1.5563.m1, gfas1.m1.22617.m1, gfas1.m1.4241.m1, gfas1.m1.4240.m1, gfas1.m1.4247.m1, gfas1.m1.5565.m1, gfas1.m1.5564.m1, gfas1.m1.5562.m1, gfas1.m1.10371.m1, gfas1.m1.4244.m1, gfas1.m1.4249.m1, gfas1.m1.4243.m1, gfas1.m1.4253.m1
OG0000175	NV2t008775001.1	gfas1.m1.5720.m1, gfas1.m1.10154.m1, gfas1.m1.8556.m1
OG0000176	NV2t023480001.1	gfas1.m1.4404.m1
OG0000176	NV2t023475001.1, NV2t023475002.1, NV2t023475003.1, NV2t023475004.1, NV2t023475005.1, NV2t023475006.1, NV2t023483001.1, NV2t023483002.1, NV2t023479001.1, NV2t023478004.1, NV2t023478001.1, NV2t023478002.1, NV2t023478003.1, NV2t023481001.1	gfas1.m1.8976.m1, gfas1.m1.8975.m1, gfas1.m1.8735.m1, gfas1.m1.7782.m1, gfas1.m1.12670.m1, gfas1.m1.4413.m1, gfas1.m1.21706.m1
OG0000177	NV2t019305001.1, NV2t019305002.1, NV2t019305003.1, NV2t019304001.1, NV2t019304005.1, NV2t019304002.1, NV2t019304003.1, NV2t019304004.1, NV2t019304006.1	gfas1.m1.13052.m1
OG0000177	NV2t011677001.1	gfas1.m1.23018.m1, gfas1.m1.12068.m1, gfas1.m1.11012.m1, gfas1.m1.10083.m1, gfas1.m1.13014.m1, gfas1.m1.11608.m1, gfas1.m1.10896.m1, gfas1.m1.22402.m1, gfas1.m1.9942.m1, gfas1.m1.12018.m1, gfas1.m1.6620.m1, gfas1.m1.11607.m1, gfas1.m1.10895.m1, gfas1.m1.23637.m1, gfas1.m1.12734.m1, gfas1.m1.11235.m1
OG0000178	NV2t004232001.1	gfas1.m1.16346.m1
OG0000178	NV2t000506001.1, NV2t004624001.1, NV2t005075001.1, NV2t002368001.1, NV2t014329001.1, NV2t025045001.1, NV2t015623001.1, NV2t015623003.1, NV2t004251001.1	gfas1.m1.23715.m1, gfas1.m1.8493.m1, gfas1.m1.19023.m1, gfas1.m1.18411.m1, gfas1.m1.6116.m1, gfas1.m1.6487.m1, gfas1.m1.15327.m1, gfas1.m1.15328.m1, gfas1.m1.15321.m1, gfas1.m1.23109.m1, gfas1.m1.6427.m1
OG0000178	NV2t002771001.1	gfas1.m1.16917.m1, gfas1.m1.16918.m1
OG0000179	NV2t023334001.1, NV2t023334002.1, NV2t023334003.1, NV2t023334004.1	gfas1.m1.23310.m1
OG0000179	NV2t019947001.1	gfas1.m1.1279.m1
OG0000181	NV2t014645001.1, NV2t014645002.1	gfas1.m1.102.m1
OG0000181	NV2t004108001.1	gfas1.m1.2292.m1
OG0000181	NV2t001667001.1, NV2t001669001.1	gfas1.m1.13177.m1
OG0000181	NV2t016977001.1	gfas1.m1.9773.m1
OG0000181	NV2t022449001.1	gfas1.m1.9189.m1
OG0000181	NV2t009020001.1, NV2t018213001.1	gfas1.m1.14962.m1, gfas1.m1.22654.m1, gfas1.m1.6169.m1, gfas1.m1.23811.m1
OG0000184	NV2t012004001.1, NV2t012007001.1, NV2t012008001.1	gfas1.m1.13647.m1
OG0000184	NV2t011327001.1	gfas1.m1.13632.m1
OG0000184	NV2t012279001.1	gfas1.m1.13639.m1
OG0000185	NV2t006438001.1	gfas1.m1.11364.m1
OG0000186	NV2t009183001.1	gfas1.m1.20342.m1
OG0000186	NV2t011028001.1	gfas1.m1.19488.m1
OG0000186	NV2t013881001.1	gfas1.m1.6185.m1
OG0000186	NV2t023332001.1, NV2t023332002.1, NV2t023640001.1	gfas1.m1.18872.m1
OG0000187	NV2t016303001.1, NV2t016305001.1	gfas1.m1.23314.m1
OG0000187	NV2t012379001.1	gfas1.m1.22299.m1, gfas1.m1.6490.m1
OG0000187	NV2t007352001.1, NV2t007352002.1, NV2t007352003.1, NV2t007352005.1, NV2t007352006.1, NV2t007352007.1, NV2t007352008.1, NV2t007352004.1	gfas1.m1.18501.m1, gfas1.m1.18503.m1, gfas1.m1.9791.m1, gfas1.m1.18500.m1, gfas1.m1.9788.m1, gfas1.m1.9789.m1
OG0000188	NV2t010161001.1	gfas1.m1.3262.m1
OG0000188	NV2t001171001.1	gfas1.m1.23128.m1, gfas1.m1.16175.m1, gfas1.m1.14609.m1, gfas1.m1.19481.m1, gfas1.m1.16176.m1, gfas1.m1.11637.m1, gfas1.m1.22159.m1, gfas1.m1.12833.m1, gfas1.m1.22706.m1, gfas1.m1.11265.m1
OG0000188	NV2t000325001.1	gfas1.m1.14613.m1, gfas1.m1.6101.m1
OG0000188	NV2t023124001.1, NV2t023124003.1, NV2t023124002.1	gfas1.m1.7074.m1
OG0000189	NV2t004484001.1	gfas1.m1.20518.m1, gfas1.m1.8915.m1, gfas1.m1.19277.m1, gfas1.m1.8911.m1, gfas1.m1.23647.m1, gfas1.m1.11792.m1, gfas1.m1.8914.m1, gfas1.m1.21219.m1, gfas1.m1.8913.m1, gfas1.m1.11793.m1, gfas1.m1.19276.m1, gfas1.m1.8912.m1, gfas1.m1.19275.m1, gfas1.m1.20516.m1, gfas1.m1.22963.m1, gfas1.m1.11861.m1, gfas1.m1.11087.m1, gfas1.m1.6994.m1, gfas1.m1.6995.m1, gfas1.m1.285.m1, gfas1.m1.3355.m1, gfas1.m1.286.m1, gfas1.m1.22107.m1, gfas1.m1.12071.m1, gfas1.m1.16260.m1
OG0000190	NV2t021325001.1	gfas1.m1.11815.m1
OG0000190	NV2t021494001.1, NV2t002182001.1	gfas1.m1.8740.m1, gfas1.m1.13147.m1, gfas1.m1.18212.m1, gfas1.m1.21684.m1, gfas1.m1.22966.m1, gfas1.m1.9497.m1, gfas1.m1.20642.m1, gfas1.m1.20839.m1, gfas1.m1.9284.m1, gfas1.m1.10296.m1, gfas1.m1.11510.m1, gfas1.m1.8488.m1, gfas1.m1.22584.m1, gfas1.m1.9498.m1, gfas1.m1.9833.m1, gfas1.m1.11182.m1, gfas1.m1.9832.m1, gfas1.m1.12982.m1, gfas1.m1.11480.m1, gfas1.m1.23648.m1, gfas1.m1.6743.m1, gfas1.m1.12192.m1
OG0000191	NV2t011474001.1	gfas1.m1.14900.m1
OG0000191	NV2t003783009.1, NV2t003783008.1, NV2t003783006.1, NV2t003783005.1, NV2t003783007.1, NV2t003783004.1, NV2t003783011.1, NV2t003783013.1, NV2t003783010.1, NV2t003783012.1, NV2t003783015.1, NV2t003783014.1, NV2t003783016.1	gfas1.m1.17706.m1
OG0000191	NV2t003783003.1, NV2t003783002.1, NV2t003783001.1	gfas1.m1.17704.m1
OG0000192	NV2t011401001.1	gfas1.m1.15341.m1
OG0000192	NV2t005693001.1	gfas1.m1.17349.m1, gfas1.m1.19886.m1, gfas1.m1.21677.m1, gfas1.m1.17350.m1, gfas1.m1.14102.m1, gfas1.m1.8875.m1, gfas1.m1.14101.m1, gfas1.m1.8873.m1, gfas1.m1.23554.m1, gfas1.m1.10717.m1
OG0000193	NV2t004607001.1	gfas1.m1.13888.m1, gfas1.m1.5368.m1, gfas1.m1.18566.m1, gfas1.m1.7575.m1, gfas1.m1.23927.m1, gfas1.m1.12979.m1, gfas1.m1.10800.m1, gfas1.m1.23541.m1, gfas1.m1.11408.m1, gfas1.m1.11842.m1, gfas1.m1.23720.m1, gfas1.m1.22605.m1, gfas1.m1.11932.m1, gfas1.m1.956.m1, gfas1.m1.23751.m1, gfas1.m1.6561.m1, gfas1.m1.11097.m1, gfas1.m1.13755.m1, gfas1.m1.11960.m1, gfas1.m1.11718.m1, gfas1.m1.20929.m1, gfas1.m1.11430.m1, gfas1.m1.13464.m1, gfas1.m1.23512.m1, gfas1.m1.8728.m1
OG0000194	NV2t023900001.1	gfas1.m1.18561.m1, gfas1.m1.18559.m1
OG0000194	NV2t023401001.1	gfas1.m1.10844.m1
OG0000194	NV2t023104001.1	gfas1.m1.17556.m1
OG0000194	NV2t015710001.1	gfas1.m1.1917.m1, gfas1.m1.210.m1
OG0000194	NV2t000772001.1, NV2t000772002.1	gfas1.m1.14540.m1, gfas1.m1.17074.m1, gfas1.m1.14611.m1, gfas1.m1.10681.m1, gfas1.m1.14612.m1, gfas1.m1.14619.m1
OG0000194	NV2t023106001.1	gfas1.m1.18072.m1, gfas1.m1.19873.m1, gfas1.m1.18560.m1
OG0000195	NV2t014579001.1	gfas1.m1.42.m1, gfas1.m1.38.m1
OG0000195	NV2t014578001.1	gfas1.m1.14324.m1
OG0000199	NV2t015476001.1	gfas1.m1.4097.m1, gfas1.m1.13465.m1, gfas1.m1.13468.m1, gfas1.m1.4695.m1
OG0000200	NV2t002215001.1	gfas1.m1.8476.m1
OG0000200	NV2t003230001.1	gfas1.m1.20205.m1
OG0000201	NV2t018299001.1	gfas1.m1.17717.m1, gfas1.m1.21527.m1
