Orthogroup	Mmus	Acer
OG0001483	SNX2_MOUSE	KAK2555411.1
OG0001499	CHD4_MOUSE, CHD5_MOUSE	KAK2557310.1
OG0001515	PRD14_MOUSE	KAK2569681.1, KAK2558721.1, KAK2559822.1
OG0001533	DLK2_MOUSE, DLK1_MOUSE	KAK2570740.1, KAK2560919.1
OG0001549	UN13C_MOUSE, UN13A_MOUSE, UN13B_MOUSE	KAK2562778.1
OG0001564	SCMC2_MOUSE, SCMC1_MOUSE, SCMC3_MOUSE	KAK2565891.1
OG0001579	CP089_MOUSE	KAK2567295.1, KAK2567397.1
OG0001595	SNX6_MOUSE, SNX32_MOUSE, SNX5_MOUSE	KAK2568898.1
OG0001339	T11L1_MOUSE, T11L2_MOUSE, TCP11_MOUSE	KAK2572887.1
OG0001374	ALX3_MOUSE, ALX1_MOUSE, ALX4_MOUSE	KAK2569352.1, KAK2569413.1
OG0001389	PTN3_MOUSE, PTN4_MOUSE	KAK2564770.1
OG0001405	CTSEL_MOUSE, CTSRE_MOUSE	KAK2568968.1, KAK2560412.1, KAK2546916.1, KAK2550761.1
OG0001437	SYN1_MOUSE, SYN3_MOUSE, SYN2_MOUSE	KAK2549606.1, KAK2549601.1
OG0001452	BBS2_MOUSE	KAK2551856.1
OG0001487	SAHH2_MOUSE, SAHH3_MOUSE	KAK2555703.1
OG0001504	IF4G1_MOUSE, IF4G3_MOUSE	KAK2557629.1, KAK2557679.1
OG0001520	CALB1_MOUSE, CALB2_MOUSE	KAK2559723.1
OG0001537	ORML3_MOUSE, ORML2_MOUSE, ORML1_MOUSE	KAK2561300.1
OG0001551	TEF_MOUSE, DBP_MOUSE, HLF_MOUSE	KAK2563368.1
OG0001580	PSN2_MOUSE, PSN1_MOUSE	KAK2567324.1
OG0001596	PNPT1_MOUSE	KAK2568952.1
OG0001607	TXLNB_MOUSE, TXLNA_MOUSE, TXLNG_MOUSE	KAK2570592.1
OG0001329	GGA2_MOUSE, GGA3_MOUSE, GGA1_MOUSE	KAK2572069.1
OG0001343	DLG2_MOUSE, DLG3_MOUSE, DLG4_MOUSE, DLG1_MOUSE	KAK2573330.1
OG0001371	LY66D_MOUSE	KAK2558808.1
OG0001406	TTC7A_MOUSE, TTC7B_MOUSE	KAK2546969.1
OG0001425	IRF2_MOUSE, IRF1_MOUSE	KAK2548259.1, KAK2551517.1
OG0001439	CBAR1_MOUSE, CBAR2_MOUSE	KAK2554779.1, KAK2549993.1, KAK2574035.1
OG0001454	AT2B4_MOUSE, AT2B1_MOUSE, AT2B2_MOUSE	KAK2552123.1
OG0001473	TRAK1_MOUSE	KAK2554235.1
OG0001538	RAB5B_MOUSE, RAB5A_MOUSE, RAB5C_MOUSE	KAK2561522.1
OG0001569	TNF10_MOUSE, TNF11_MOUSE	KAK2566623.1, KAK2566641.1
OG0001584	VP13A_MOUSE, VP13C_MOUSE	KAK2568113.1, KAK2567923.1
OG0001590	IPP2_MOUSE	KAK2568348.1
OG0001604	FXL20_MOUSE, FBXL2_MOUSE	KAK2570091.1
OG0001619	RHG44_MOUSE, RHG17_MOUSE, 3BP1_MOUSE	KAK2571570.1
OG0001305	HNRPF_MOUSE, HNRH2_MOUSE, HNRH1_MOUSE	KAK2568364.1, KAK2568365.1
OG0001323	TKT_MOUSE, TKTL1_MOUSE, TKTL2_MOUSE	KAK2571039.1, KAK2571235.1
OG0001338	GABP1_MOUSE, GABP2_MOUSE	KAK2572886.1
OG0001383	BEND3_MOUSE	KAK2549599.1
OG0001390	UBA7_MOUSE, UBA1Y_MOUSE, UBA1_MOUSE	KAK2548604.1
OG0001408	MP2K1_MOUSE, MP2K2_MOUSE	KAK2551928.1, KAK2548680.1, KAK2547145.1
OG0001426	TASOR_MOUSE	KAK2567979.1, KAK2548279.1
OG0001440	INT8_MOUSE	KAK2550023.1
OG0001488	FOLR2_MOUSE, FOLR1_MOUSE, JUNO_MOUSE	KAK2556026.1
OG0001539	POLH_MOUSE	KAK2561540.1
OG0001556	DPH7_MOUSE	KAK2564304.1, KAK2564056.1
OG0001572	NPDC1_MOUSE	KAK2566860.1
OG0001588	PLSL_MOUSE, PLSI_MOUSE, PLST_MOUSE	KAK2568238.1, KAK2570421.1
OG0001602	GIPC1_MOUSE, GIPC3_MOUSE, GIPC2_MOUSE	KAK2569919.1
OG0001617	QCR1_MOUSE, MPPB_MOUSE	KAK2571541.1
OG0001632	GMCL2_MOUSE, GMCL1_MOUSE	KAK2572921.1
OG0001330	PKHA2_MOUSE, PKHA1_MOUSE	KAK2572158.1
OG0001384	1433E_MOUSE	KAK2558316.1, KAK2558232.1, KAK2558234.1, KAK2558237.1
OG0001415	RPAC1_MOUSE	KAK2547672.1, KAK2561814.1
OG0001431	MANF_MOUSE, CDNF_MOUSE	KAK2548858.1
OG0001445	MGT4E_MOUSE, MGT4C_MOUSE	KAK2550806.1, KAK2550814.1, KAK2563147.1, KAK2570769.1, KAK2566530.1
OG0001459	SGCG_MOUSE, SGCD_MOUSE, SGCZ_MOUSE	KAK2552612.1
OG0001477	ATX3_MOUSE	KAK2554678.1
OG0001493	DVL3_MOUSE, DVL1_MOUSE	KAK2556410.1
OG0001526	MYO3B_MOUSE, MYO3A_MOUSE	KAK2560371.1, KAK2560538.1
OG0001543	ZN318_MOUSE	KAK2561938.1
OG0001560	MBD4_MOUSE	KAK2565105.1
OG0001575	CIP4_MOUSE, FBP1L_MOUSE, FNBP1_MOUSE	KAK2566985.1
OG0001589	WDR4_MOUSE	KAK2568277.1, KAK2568280.1
OG0001603	TRAF4_MOUSE	KAK2570015.1, KAK2573853.1, KAK2574625.1
OG0001618	RHOB_MOUSE, RHOC_MOUSE, RHOA_MOUSE	KAK2571546.1, KAK2571547.1
OG0001633	IGDC4_MOUSE, PRTG_MOUSE, IGDC3_MOUSE	KAK2573216.1
OG0001638	ROBO3_MOUSE, ROBO1_MOUSE, ROBO2_MOUSE	KAK2573642.1
OG0001420	NEK2_MOUSE	KAK2548000.1, KAK2553893.1, KAK2553895.1, KAK2554303.1, KAK2553998.1
OG0001451	CDS2_MOUSE, CDS1_MOUSE	KAK2551831.1
OG0001468	LDHB_MOUSE, LDHA_MOUSE, LDHC_MOUSE	KAK2553397.1
OG0001486	FBH1_MOUSE	KAK2555635.1
OG0001518	MDGA2_MOUSE, MDGA1_MOUSE	KAK2559310.1
OG0001536	ATLA1_MOUSE, ATLA3_MOUSE, ATLA2_MOUSE	KAK2561147.1
OG0001553	KASH5_MOUSE, IRAG1_MOUSE, IRAG2_MOUSE	KAK2563714.1, KAK2563708.1
OG0001559	COG8_MOUSE	KAK2564920.1, KAK2564916.1
OG0001591	CRLF1_MOUSE, PRLR_MOUSE, IL6RB_MOUSE	KAK2568350.1
OG0001610	DCAM1_MOUSE, DCAM2_MOUSE	KAK2570858.1
OG0001627	SNX10_MOUSE, SNX11_MOUSE	KAK2572264.1
OG0001677	PITX2_MOUSE, PITX1_MOUSE, PITX3_MOUSE	KAK2563187.1
OG0001691	PGH1_MOUSE, PGH2_MOUSE	KAK2563915.1, KAK2563914.1
OG0001707	GDF7_MOUSE, GDF5_MOUSE, GDF6_MOUSE	KAK2560231.1
OG0001411	G6PD1_MOUSE, G6PD2_MOUSE	KAK2547236.1
OG0001441	ROR1_MOUSE, ROR2_MOUSE	KAK2550058.1, KAK2550057.1
OG0001471	NISCH_MOUSE	KAK2553767.1, KAK2571080.1, KAK2571079.1
OG0001475	THEM5_MOUSE, THEM4_MOUSE	KAK2554549.1
OG0001491	DDX25_MOUSE, DD19A_MOUSE	KAK2556340.1, KAK2556399.1
OG0001508	KDM1A_MOUSE	KAK2558028.1
OG0001523	TET1_MOUSE, TET3_MOUSE, TET2_MOUSE	KAK2560127.1
OG0001540	PDE1B_MOUSE, PDE1A_MOUSE, PDE1C_MOUSE	KAK2561580.1
OG0001555	IREB2_MOUSE, ACOHC_MOUSE	KAK2563867.1
OG0001582	PELI3_MOUSE, PELI1_MOUSE, PELI2_MOUSE	KAK2567573.1
OG0001626	HXK4_MOUSE	KAK2572234.1
OG0001644	CC157_MOUSE, MND1_MOUSE	KAK2574368.1
OG0001674	MK01_MOUSE, MK03_MOUSE	KAK2558265.1
OG0001688	ACV1C_MOUSE, ACV1B_MOUSE, TGFR1_MOUSE	KAK2551741.1
OG0001703	NKX26_MOUSE, NKX25_MOUSE, NKX23_MOUSE	KAK2572452.1
OG0001719	PI51A_MOUSE, PSMD4_MOUSE	KAK2572448.1
OG0001385	S6A19_MOUSE, S6A18_MOUSE, S620B_MOUSE, S620A_MOUSE	KAK2560677.1
OG0001402	VINEX_MOUSE, SRBS1_MOUSE, SRBS2_MOUSE	KAK2546760.1, KAK2548950.1
OG0001421	OACYL_MOUSE	KAK2556795.1, KAK2548052.1, KAK2556787.1, KAK2569476.1, KAK2569479.1
OG0001436	PDCD4_MOUSE	KAK2549497.1
OG0001450	UB2E1_MOUSE, UB2E3_MOUSE, UB2E2_MOUSE	KAK2551753.1
OG0001467	MAPK2_MOUSE, MAPK3_MOUSE	KAK2553363.1
OG0001570	JAM3_MOUSE, JAM1_MOUSE, JAM2_MOUSE	KAK2566678.1
OG0001585	NINL_MOUSE, NIN_MOUSE	KAK2567925.1
OG0001599	CPSF7_MOUSE, CPSF6_MOUSE	KAK2569426.1
OG0001614	FOXP1_MOUSE, FOXP4_MOUSE, FOXP2_MOUSE	KAK2571286.1
OG0001681	GBG10_MOUSE, GBG5_MOUSE	KAK2561676.1
OG0001712	KMT2B_MOUSE, KMT2A_MOUSE	KAK2573369.1
OG0001729	FA13C_MOUSE, FA13B_MOUSE, FA13A_MOUSE	KAK2566202.1
OG0001761	LMO3_MOUSE, RBTN1_MOUSE	KAK2548607.1, KAK2565464.1
OG0001480	ZAP70_MOUSE, KSYK_MOUSE	KAK2555081.1
OG0001497	TBC20_MOUSE	KAK2556780.1
OG0001514	HME1_MOUSE, HME2_MOUSE	KAK2572588.1, KAK2558660.1
OG0001547	XKR4_MOUSE, XKR6_MOUSE, XKR7_MOUSE	KAK2562333.1
OG0001552	SAR1A_MOUSE, SAR1B_MOUSE	KAK2563578.1
OG0001567	MINY1_MOUSE, MINY2_MOUSE	KAK2566402.1
OG0001583	TMT1B_MOUSE	KAK2567750.1
OG0001597	FMNL1_MOUSE, FMNL3_MOUSE, FMNL2_MOUSE	KAK2569266.1, KAK2569267.1
OG0001609	FIG4_MOUSE	KAK2570699.1
OG0001625	SDK2_MOUSE, SDK1_MOUSE	KAK2571927.1
OG0001642	S13A3_MOUSE, S13A2_MOUSE, S13A5_MOUSE	KAK2574168.1
OG0001673	ASTL_MOUSE	KAK2563344.1
OG0001687	SOX17_MOUSE, SOX7_MOUSE, SOX18_MOUSE	KAK2574090.1
OG0001704	NKX22_MOUSE	KAK2560577.1, KAK2560584.1, KAK2560579.1
OG0001752	YBOX3_MOUSE, YBOX1_MOUSE	KAK2547939.1
OG0001474	LITAF_MOUSE	KAK2554258.1, KAK2556887.1
OG0001492	ENOA_MOUSE, ENOG_MOUSE, ENOB_MOUSE	KAK2556406.1
OG0001510	RCAN1_MOUSE, RCAN3_MOUSE, RCAN2_MOUSE	KAK2558085.1
OG0001527	AHR_MOUSE, AHRR_MOUSE	KAK2560482.1, KAK2563660.1
OG0001532	BTBD8_MOUSE	KAK2560733.1
OG0001548	OXSR1_MOUSE, STK39_MOUSE	KAK2562554.1
OG0001563	BAG6_MOUSE	KAK2565824.1, KAK2565825.1
OG0001578	CIAO1_MOUSE	KAK2567205.1
OG0001594	CNIH1_MOUSE, CNIH2_MOUSE, CNIH3_MOUSE	KAK2568812.1
OG0001608	MGST3_MOUSE	KAK2570614.1
OG0001624	TTYH3_MOUSE, TTYH1_MOUSE, TTYH2_MOUSE	KAK2571924.1, KAK2571963.1
OG0001641	TAOK3_MOUSE, TAOK1_MOUSE	KAK2574131.1
OG0001678	AMPE_MOUSE	KAK2565154.1, KAK2565156.1
OG0001693	RAC1_MOUSE, RAC2_MOUSE, RAC3_MOUSE	KAK2571825.1
OG0001709	NBL1_MOUSE	KAK2551216.1, KAK2547071.1, KAK2547072.1
OG0001725	INP4B_MOUSE, INP4A_MOUSE, GHDC_MOUSE	KAK2564979.1
OG0001760	NAA25_MOUSE	KAK2548545.1
OG0001778	TMM53_MOUSE	KAK2558419.1, KAK2558425.1, KAK2558426.1, KAK2549953.1
OG0001476	METK1_MOUSE, METK2_MOUSE	KAK2568359.1, KAK2554612.1
OG0001494	MTHR_MOUSE	KAK2556509.1, KAK2557686.1
OG0001512	CIPC_MOUSE	KAK2558224.1, KAK2558228.1
OG0001529	MYL9_MOUSE, ML12B_MOUSE	KAK2560500.1, KAK2561378.1, KAK2561379.1
OG0001545	ANR28_MOUSE, ANR44_MOUSE, ANR52_MOUSE	KAK2562097.1
OG0001561	PPIP1_MOUSE, PPIP2_MOUSE	KAK2565384.1
OG0001576	SFTPA_MOUSE, COL10_MOUSE, SFTPD_MOUSE	KAK2567013.1
OG0001605	CNPY3_MOUSE, CNPY4_MOUSE	KAK2572220.1, KAK2570475.1, KAK2570283.1, KAK2570471.1
OG0001621	3MG_MOUSE	KAK2571622.1
OG0001639	UN93A_MOUSE	KAK2573936.1
OG0001686	SOX2_MOUSE, SOX1_MOUSE, SOX3_MOUSE	KAK2573462.1
OG0001702	KPCL_MOUSE, KPCE_MOUSE	KAK2568686.1
OG0001718	HIG1B_MOUSE, HIG1A_MOUSE, HIG1C_MOUSE	KAK2570321.1
OG0001753	ZNT1_MOUSE	KAK2547969.1
OG0001759	TRAM2_MOUSE, TR1L1_MOUSE, TRAM1_MOUSE	KAK2548460.1
OG0001776	LAP4B_MOUSE, LAP4A_MOUSE	KAK2549763.1
OG0001792	UGPA_MOUSE	KAK2550751.1
OG0001507	SCML4_MOUSE, SCMH1_MOUSE	KAK2557952.1
OG0001525	ANTRL_MOUSE, ANTR1_MOUSE, ANTR2_MOUSE	KAK2560266.1
OG0001542	TM63C_MOUSE, TM63B_MOUSE, TM63A_MOUSE	KAK2561617.1
OG0001558	FMR1_MOUSE, FXR2_MOUSE, FXR1_MOUSE	KAK2564783.1
OG0001573	LHX9_MOUSE, LHX2_MOUSE	KAK2566921.1
OG0001587	LOXH1_MOUSE	KAK2568183.1, KAK2568379.1
OG0001601	CEGT_MOUSE	KAK2569750.1
OG0001616	AL1L1_MOUSE, AL1L2_MOUSE	KAK2571422.1
OG0001631	DYR_MOUSE	KAK2572801.1
OG0001636	ARHG4_MOUSE, ARHG9_MOUSE, SPT13_MOUSE	KAK2573434.1
OG0001684	DTX3_MOUSE, DTX3L_MOUSE	KAK2554439.1, KAK2546815.1, KAK2554341.1, KAK2546814.1
OG0001700	PTN14_MOUSE, PTN21_MOUSE	KAK2551737.1
OG0001715	GABR2_MOUSE	KAK2573525.1, KAK2573860.1, KAK2562196.1, KAK2572579.1, KAK2572997.1
OG0001747	PI3R4_MOUSE	KAK2547695.1, KAK2547699.1, KAK2556549.1, KAK2556550.1
OG0001763	ARNT2_MOUSE, ARNT_MOUSE	KAK2548715.1
OG0001780	MRPP3_MOUSE	KAK2563520.1, KAK2549995.1, KAK2549994.1
OG0001794	HPF1_MOUSE	KAK2550885.1
OG0001811	SSPO_MOUSE	KAK2556422.1, KAK2552534.1, KAK2573214.1
OG0001827	PZRN3_MOUSE, PDZD4_MOUSE	KAK2553911.1
OG0001571	TTC12_MOUSE	KAK2566699.1
OG0001586	ITPR1_MOUSE, ITPR3_MOUSE, ITPR2_MOUSE	KAK2568121.1
OG0001600	SNG3_MOUSE, SNG1_MOUSE, SNG2_MOUSE	KAK2569484.1
OG0001615	HEM1_MOUSE, HEM0_MOUSE	KAK2571291.1
OG0001620	BAIP2_MOUSE, BI2L2_MOUSE, BI2L1_MOUSE	KAK2571616.1
OG0001635	FN3C1_MOUSE, FND3B_MOUSE, FND3A_MOUSE	KAK2573390.1
OG0001682	AT10A_MOUSE, AT10B_MOUSE, AT10D_MOUSE	KAK2563357.1
OG0001698	RAB1A_MOUSE, RAB1B_MOUSE	KAK2567320.1, KAK2562951.1
OG0001713	MILK1_MOUSE, MILK2_MOUSE	KAK2565013.1
OG0001717	OTP_MOUSE	KAK2552878.1
OG0001767	AMZ2_MOUSE, AMZ1_MOUSE	KAK2569157.1, KAK2548855.1
OG0001784	HABP4_MOUSE, SERB1_MOUSE	KAK2550184.1
OG0001800	HERC2_MOUSE	KAK2551257.1
OG0001826	YIF1A_MOUSE, YIF1B_MOUSE	KAK2553793.1
OG0001842	PRGC1_MOUSE, PRGC2_MOUSE, PPRC1_MOUSE	KAK2554926.1
OG0001593	COQ8A_MOUSE, COQ8B_MOUSE	KAK2568633.1, KAK2568637.1
OG0001606	MARHB_MOUSE, MARH9_MOUSE, MARH4_MOUSE	KAK2570289.1
OG0001622	MIRO1_MOUSE, MIRO2_MOUSE	KAK2571827.1
OG0001637	CAN5_MOUSE	KAK2573596.1
OG0001643	DOC2A_MOUSE, DOC2B_MOUSE, DOC2G_MOUSE, RP3A_MOUSE	KAK2574171.1
OG0001676	LRP2_MOUSE, LRP1_MOUSE, LRP1B_MOUSE	KAK2548598.1
OG0001692	FOXA1_MOUSE, FOXA2_MOUSE	KAK2561621.1
OG0001708	MB211_MOUSE, MB212_MOUSE	KAK2569245.1, KAK2569241.1, KAK2569242.1
OG0001726	PLK5_MOUSE, PLK2_MOUSE, PLK3_MOUSE	KAK2555000.1
OG0001731	TNPO3_MOUSE	KAK2572763.1
OG0001787	NEK11_MOUSE	KAK2550426.1, KAK2550424.1
OG0001805	UBP4_MOUSE, UBP11_MOUSE, UBP15_MOUSE	KAK2551666.1
OG0001821	CRY2_MOUSE, CRY1_MOUSE	KAK2553231.1, KAK2563759.1
OG0001840	AGRA3_MOUSE, AGRA1_MOUSE, AGRA2_MOUSE	KAK2554881.1
OG0001857	IF5A2_MOUSE, IF5A1_MOUSE	KAK2556314.1
OG0001461	CCD63_MOUSE	KAK2552658.1, KAK2573269.1
OG0001465	CARL3_MOUSE, CARL1_MOUSE	KAK2553150.1
OG0001495	RN220_MOUSE	KAK2556714.1
OG0001511	PYRG2_MOUSE, PYRG1_MOUSE	KAK2558148.1, KAK2558149.1
OG0001528	PP4R4_MOUSE	KAK2560497.1
OG0001544	PRS23_MOUSE, PRS35_MOUSE	KAK2562027.1, KAK2567732.1
OG0001694	KC1D_MOUSE, KC1E_MOUSE	KAK2564219.1
OG0001727	DDX3L_MOUSE, DDX3X_MOUSE, DDX3Y_MOUSE	KAK2557496.1
OG0001758	SERC1_MOUSE, SERC3_MOUSE	KAK2548447.1
OG0001775	KKCC1_MOUSE, KKCC2_MOUSE	KAK2549756.1
OG0001790	PIM2_MOUSE, PIM3_MOUSE, PIM1_MOUSE	KAK2550596.1
OG0001807	RASK_MOUSE, RASH_MOUSE, RASN_MOUSE	KAK2551780.1
OG0001822	HS105_MOUSE, HS74L_MOUSE, HSP74_MOUSE	KAK2553323.1
OG0001838	SNX16_MOUSE	KAK2563968.1, KAK2554757.1
OG0001843	NANO3_MOUSE, NANO2_MOUSE	KAK2555064.1, KAK2572623.1
OG0001859	AOC1_MOUSE	KAK2561184.1, KAK2574358.1, KAK2567772.1, KAK2556480.1, KAK2556595.1
OG0001873	ENDOV_MOUSE	KAK2557144.1
OG0001888	FKB1B_MOUSE, FKB1A_MOUSE	KAK2558355.1
OG0001675	MK07_MOUSE	KAK2573926.1
OG0001690	RN227_MOUSE, RN224_MOUSE	KAK2552217.1, KAK2570392.1, KAK2553901.1
OG0001706	KCNH3_MOUSE, KCNH8_MOUSE	KAK2552290.1
OG0001721	2A5E_MOUSE, 2A5B_MOUSE, 2A5A_MOUSE	KAK2568985.1
OG0001754	AVR2B_MOUSE, AVR2A_MOUSE	KAK2548006.1
OG0001771	LIPB2_MOUSE, LIPB1_MOUSE	KAK2549446.1, KAK2549447.1
OG0001802	PTGES_MOUSE, MGST1_MOUSE	KAK2551459.1, KAK2551460.1
OG0001819	KLD8B_MOUSE, KLD8A_MOUSE	KAK2553696.1, KAK2553138.1
OG0001835	CHD2_MOUSE, CHD1_MOUSE	KAK2554562.1
OG0001854	TSN7_MOUSE, TSN6_MOUSE	KAK2555938.1
OG0001870	PK1L2_MOUSE	KAK2557099.1, KAK2570489.1, KAK2563234.1
OG0001884	SFPQ_MOUSE, NONO_MOUSE, PSPC1_MOUSE	KAK2558052.1
OG0001890	CTNA3_MOUSE, CTNA1_MOUSE, CTNA2_MOUSE	KAK2558382.1
OG0001907	LPIN3_MOUSE, LPIN1_MOUSE, LPIN2_MOUSE	KAK2560190.1
OG0001924	MTA1_MOUSE, MTA2_MOUSE, MTA3_MOUSE	KAK2561152.1
OG0001623	NOGG_MOUSE	KAK2571910.1, KAK2571914.1
OG0001640	RIMB2_MOUSE, RIMB1_MOUSE	KAK2573988.1
OG0001689	SP1_MOUSE, SP3_MOUSE	KAK2553687.1, KAK2560440.1
OG0001705	KCRS_MOUSE, KCRU_MOUSE	KAK2550036.1, KAK2550035.1
OG0001722	KLF7_MOUSE, KLF6_MOUSE	KAK2563511.1, KAK2547714.1
OG0001774	TBL2_MOUSE	KAK2549753.1
OG0001791	AUHM_MOUSE, ECHD2_MOUSE	KAK2550640.1, KAK2565911.1, KAK2565966.1
OG0001796	VAMP3_MOUSE, VAMP2_MOUSE, VAMP1_MOUSE	KAK2551179.1
OG0001813	MAGT1_MOUSE, TUSC3_MOUSE	KAK2552579.1
OG0001829	PNMT_MOUSE, NNMT_MOUSE, INMT_MOUSE	KAK2553993.1
OG0001847	WDR5_MOUSE, WDR5B_MOUSE	KAK2555372.1
OG0001862	YIPF5_MOUSE, YIPF7_MOUSE	KAK2567875.1, KAK2556684.1
OG0001877	MFN1_MOUSE, MFN2_MOUSE	KAK2557644.1
OG0001894	SH3G3_MOUSE, SH3G2_MOUSE, SH3G1_MOUSE	KAK2559114.1
OG0001912	SAE1_MOUSE	KAK2560347.1
OG0001928	EZH1_MOUSE, EZH2_MOUSE	KAK2561589.1
OG0001634	DEUP1_MOUSE, CEP63_MOUSE	KAK2573356.1
OG0001683	S39AC_MOUSE	KAK2561992.1
OG0001699	CN37_MOUSE	KAK2563652.1, KAK2565136.1
OG0001714	HIF3A_MOUSE, EPAS1_MOUSE, HIF1A_MOUSE	KAK2561505.1
OG0001730	ABCA4_MOUSE, ABCA1_MOUSE, ABCA7_MOUSE	KAK2569520.1
OG0001746	PGM2_MOUSE, PGM2L_MOUSE	KAK2547619.1
OG0001762	RGMB_MOUSE, RGMA_MOUSE, RGMC_MOUSE	KAK2548688.1
OG0001779	AURKA_MOUSE, AURKB_MOUSE, AURKC_MOUSE	KAK2549987.1
OG0001803	PA21B_MOUSE	KAK2551607.1
OG0001823	FRM4A_MOUSE, FRM4B_MOUSE	KAK2553359.1
OG0001841	SAXO2_MOUSE	KAK2559098.1, KAK2554915.1
OG0001858	KPCZ_MOUSE, KPCI_MOUSE	KAK2556453.1
OG0001875	TSEAR_MOUSE	KAK2557195.1, KAK2557198.1
OG0001892	PUF60_MOUSE	KAK2558486.1
OG0001910	ROAA_MOUSE, HNRDL_MOUSE, HNRPD_MOUSE	KAK2560274.1
OG0001916	LAR4B_MOUSE, LARP4_MOUSE	KAK2560597.1
OG0001932	AQP11_MOUSE, AQP12_MOUSE	KAK2562137.1, KAK2562139.1
OG0001565	TOR1A_MOUSE, TOR1B_MOUSE	KAK2566027.1, KAK2568893.1
OG0001581	RPAP1_MOUSE	KAK2567459.1
OG0001598	CNDP1_MOUSE, CNDP2_MOUSE	KAK2569372.1, KAK2569282.1, KAK2569283.1, KAK2569472.1
OG0001611	F120A_MOUSE, F120C_MOUSE	KAK2571009.1, KAK2571037.1, KAK2571152.1, KAK2571399.1
OG0001628	KCD20_MOUSE, BTBDA_MOUSE	KAK2572729.1
OG0001695	RBM5_MOUSE, RBM10_MOUSE	KAK2571251.1
OG0001710	P5CR1_MOUSE, P5CR2_MOUSE	KAK2552103.1, KAK2552104.1
OG0001751	CERT_MOUSE	KAK2547812.1
OG0001782	PLD5_MOUSE, PLD3_MOUSE, PLD4_MOUSE	KAK2550030.1
OG0001797	UFL1_MOUSE	KAK2551188.1, KAK2570715.1, KAK2563482.1, KAK2551189.1, KAK2554421.1
OG0001831	DAPP1_MOUSE	KAK2554204.1
OG0001848	VAV2_MOUSE, VAV_MOUSE, VAV3_MOUSE	KAK2555412.1
OG0001865	SNTB2_MOUSE, SNTA1_MOUSE, SNTB1_MOUSE	KAK2556856.1
OG0001887	NXN_MOUSE	KAK2558270.1
OG0001903	MYEF2_MOUSE, HNRPM_MOUSE	KAK2560033.1
OG0001921	JAG1_MOUSE, JAG2_MOUSE	KAK2560960.1
OG0001937	EIF3C_MOUSE	KAK2562399.1
OG0001613	MPEG1_MOUSE	KAK2571256.1, KAK2571260.1, KAK2571263.1
OG0001629	KHK_MOUSE	KAK2572752.1
OG0001680	COBA2_MOUSE, CO5A1_MOUSE, COBA1_MOUSE	KAK2555477.1
OG0001696	ST18_MOUSE, MYT1L_MOUSE, MYT1_MOUSE	KAK2553676.1
OG0001711	CCBE1_MOUSE	KAK2552402.1, KAK2563537.1
OG0001728	PP1G_MOUSE, PP1A_MOUSE	KAK2574546.1
OG0001744	SL2A8_MOUSE	KAK2547557.1, KAK2548350.1, KAK2548351.1, KAK2548355.1
OG0001748	DSE_MOUSE, DSEL_MOUSE	KAK2547747.1, KAK2560856.1
OG0001764	DGKQ_MOUSE	KAK2548750.1, KAK2552679.1, KAK2557450.1, KAK2560148.1
OG0001795	TB22A_MOUSE	KAK2550922.1
OG0001812	DPP4_MOUSE, SEPR_MOUSE	KAK2552559.1
OG0001828	MAGI1_MOUSE, MAGI3_MOUSE, MAGI2_MOUSE	KAK2553933.1
OG0001846	TFIP8_MOUSE, TP8L3_MOUSE	KAK2555319.1
OG0001863	ZSWM4_MOUSE, ZSWM6_MOUSE, ZSWM5_MOUSE	KAK2556731.1
OG0001880	ARGAL_MOUSE, ARHGA_MOUSE	KAK2557765.1
OG0001897	ILF2_MOUSE	KAK2559462.1
OG0001929	IASPP_MOUSE, ASPP2_MOUSE, ASPP1_MOUSE	KAK2561611.1
OG0001963	SHAN3_MOUSE, SHAN1_MOUSE, SHAN2_MOUSE	KAK2565090.1
OG0001685	RAB13_MOUSE, RAB8B_MOUSE, RAB8A_MOUSE	KAK2565140.1
OG0001701	KPCT_MOUSE, KPCD_MOUSE	KAK2550647.1
OG0001716	HEYL_MOUSE, HEY2_MOUSE, HEY1_MOUSE	KAK2570203.1
OG0001734	PPM1K_MOUSE	KAK2547553.1, KAK2546669.1, KAK2559848.1
OG0001750	LMNB1_MOUSE, LMNA_MOUSE, LMNB2_MOUSE	KAK2547791.1
OG0001768	ABHD2_MOUSE	KAK2548934.1
OG0001801	CYFP2_MOUSE, CYFP1_MOUSE	KAK2551269.1, KAK2551270.1
OG0001818	KAZRN_MOUSE	KAK2553054.1
OG0001834	HYKK_MOUSE	KAK2570681.1, KAK2554514.1, KAK2554485.1, KAK2554515.1
OG0001852	ATF2_MOUSE, CREB5_MOUSE, ATF7_MOUSE	KAK2555785.1
OG0001885	NOE1_MOUSE, NOE2_MOUSE, NOE3_MOUSE	KAK2558115.1, KAK2558122.1
OG0001919	PSB8_MOUSE, PSB5_MOUSE	KAK2560714.1
OG0001935	BOLL_MOUSE	KAK2562164.1, KAK2572239.1, KAK2571502.1
OG0001939	CBPC1_MOUSE, CBPC4_MOUSE	KAK2562817.1
OG0001955	SMRD1_MOUSE, SMRD2_MOUSE, SMRD3_MOUSE	KAK2564811.1
OG0001972	CLIP3_MOUSE, CLIP4_MOUSE	KAK2565764.1
OG0001988	PLCX3_MOUSE, PLCX2_MOUSE	KAK2566815.1
